#id: 3223230345
#name: H.sapiens - Brain (Integrated)
#score: 24.07
#description: integrated dataset: weighted average of all H.sapiens BRAIN, Interaction consistency score: 24.07, Coverage: 57
#organ: BRAIN
#integrated: true
#coverage: 57
#publication_year: 2021
#filename: 9606-BRAIN-integrated.txt
#
#internal_id	string_external_id	abundance
4433923	9606.ENSP00000245206	1101
4438114	9606.ENSP00000305260	1086
4437379	9606.ENSP00000297258	1075
4436079	9606.ENSP00000273398	1074
4444265	9606.ENSP00000362924	1073
4448843	9606.ENSP00000416706	1070
4441891	9606.ENSP00000349142	1070
4449470	9606.ENSP00000428845	1059
4436857	9606.ENSP00000290349	1059
4433537	9606.ENSP00000231487	1057
4433097	9606.ENSP00000219599	1052
4444702	9606.ENSP00000365439	1044
4442431	9606.ENSP00000354111	1041
4444122	9606.ENSP00000362271	1028
4437464	9606.ENSP00000298159	1028
4443864	9606.ENSP00000361087	1020
4444406	9606.ENSP00000363641	1019
4442560	9606.ENSP00000354876	1009
4442980	9606.ENSP00000356864	1007
4450152	9606.ENSP00000445306	1007
4437358	9606.ENSP00000297012	1004
4440566	9606.ENSP00000334448	989
4442961	9606.ENSP00000356790	983
4441904	9606.ENSP00000349259	980
4436284	9606.ENSP00000278379	972
4435561	9606.ENSP00000265113	970
4443780	9606.ENSP00000360671	956
4441081	9606.ENSP00000340820	954
4444253	9606.ENSP00000362820	944
4438070	9606.ENSP00000304697	928
4445678	9606.ENSP00000371798	925
4441190	9606.ENSP00000341826	924
4446035	9606.ENSP00000376309	921
4445546	9606.ENSP00000370808	917
4441512	9606.ENSP00000345347	911
4442264	9606.ENSP00000352544	910
4445424	9606.ENSP00000369981	907
4438496	9606.ENSP00000309415	903
4433215	9606.ENSP00000222256	902
4444290	9606.ENSP00000363041	901
4445338	9606.ENSP00000369538	900
4435610	9606.ENSP00000265462	883
4443270	9606.ENSP00000358155	882
4451142	9606.ENSP00000475814	882
4432701	9606.ENSP00000167586	881
4440336	9606.ENSP00000332194	881
4446795	9606.ENSP00000381293	876
4442867	9606.ENSP00000356354	874
4436430	9606.ENSP00000281456	874
4434023	9606.ENSP00000247461	872
4446116	9606.ENSP00000376886	871
4439395	9606.ENSP00000320866	868
4451332	9606.ENSP00000478828	867
4440399	9606.ENSP00000332790	863
4438356	9606.ENSP00000307786	862
4436853	9606.ENSP00000290299	859
4442365	9606.ENSP00000353508	854
4433579	9606.ENSP00000233143	847
4433035	9606.ENSP00000217971	840
4442857	9606.ENSP00000356275	840
4449695	9606.ENSP00000434024	837
4440758	9606.ENSP00000337060	835
4450218	9606.ENSP00000447006	831
4438847	9606.ENSP00000313199	829
4442096	9606.ENSP00000351022	826
4443556	9606.ENSP00000359539	826
4441634	9606.ENSP00000346550	822
4436782	9606.ENSP00000288699	820
4436266	9606.ENSP00000277865	808
4432634	9606.ENSP00000054666	796
4437781	9606.ENSP00000301653	792
4444208	9606.ENSP00000362638	786
4451393	9606.ENSP00000479488	774
4450736	9606.ENSP00000464265	770
4434059	9606.ENSP00000248553	767
4437495	9606.ENSP00000298510	766
4435545	9606.ENSP00000265062	765
4449897	9606.ENSP00000439189	764
4433668	9606.ENSP00000236850	758
4450009	9606.ENSP00000441875	756
4447693	9606.ENSP00000391481	755
4436562	9606.ENSP00000284031	754
4444252	9606.ENSP00000362817	753
4432880	9606.ENSP00000215832	753
4435245	9606.ENSP00000263368	753
4434104	9606.ENSP00000249700	747
4442474	9606.ENSP00000354490	744
4437619	9606.ENSP00000300026	742
4447492	9606.ENSP00000387286	735
4446882	9606.ENSP00000381992	728
4448366	9606.ENSP00000405573	728
4448110	9606.ENSP00000400175	722
4442186	9606.ENSP00000351777	721
4438413	9606.ENSP00000308452	717
4438570	9606.ENSP00000310226	717
4436920	9606.ENSP00000291568	717
4432873	9606.ENSP00000215754	715
4433901	9606.ENSP00000244537	712
4441692	9606.ENSP00000347168	712
4444931	9606.ENSP00000366956	712
4444934	9606.ENSP00000366974	712
4444948	9606.ENSP00000367034	712
4450064	9606.ENSP00000443017	712
4450668	9606.ENSP00000462355	712
4450676	9606.ENSP00000462667	712
4451358	9606.ENSP00000479106	712
4451392	9606.ENSP00000479461	712
4451423	9606.ENSP00000479794	712
4451542	9606.ENSP00000480960	712
4451586	9606.ENSP00000481486	712
4451886	9606.ENSP00000484789	712
4440308	9606.ENSP00000331897	711
4447621	9606.ENSP00000389649	711
4446310	9606.ENSP00000378199	706
4443118	9606.ENSP00000357516	705
4433759	9606.ENSP00000239940	703
4451239	9606.ENSP00000477781	702
4441847	9606.ENSP00000348602	699
4444134	9606.ENSP00000362308	697
4435820	9606.ENSP00000268379	696
4433326	9606.ENSP00000225655	689
4441438	9606.ENSP00000344547	682
4433989	9606.ENSP00000246554	679
4433964	9606.ENSP00000246069	676
4437775	9606.ENSP00000301587	672
4450571	9606.ENSP00000457513	672
4432857	9606.ENSP00000215375	670
4435288	9606.ENSP00000263655	669
4437578	9606.ENSP00000299518	669
4439666	9606.ENSP00000324173	669
4436421	9606.ENSP00000281243	668
4438833	9606.ENSP00000312999	658
4451720	9606.ENSP00000482826	657
4432958	9606.ENSP00000216442	657
4440982	9606.ENSP00000339740	654
4445353	9606.ENSP00000369586	651
4433256	9606.ENSP00000222812	649
4441116	9606.ENSP00000341094	647
4438369	9606.ENSP00000307900	647
4440028	9606.ENSP00000328484	646
4442159	9606.ENSP00000351589	646
4442214	9606.ENSP00000352119	646
4442276	9606.ENSP00000352627	646
4444893	9606.ENSP00000366679	646
4451672	9606.ENSP00000482431	646
4451686	9606.ENSP00000482538	646
4442801	9606.ENSP00000356042	646
4441502	9606.ENSP00000345230	646
4449876	9606.ENSP00000438553	645
4439803	9606.ENSP00000325905	638
4446447	9606.ENSP00000379098	637
4437955	9606.ENSP00000303373	635
4442727	9606.ENSP00000355656	635
4451813	9606.ENSP00000483842	635
4444942	9606.ENSP00000367022	635
4440923	9606.ENSP00000339095	631
4440870	9606.ENSP00000338413	629
4450194	9606.ENSP00000446252	629
4440824	9606.ENSP00000337838	628
4436579	9606.ENSP00000284292	623
4435219	9606.ENSP00000263233	623
4438348	9606.ENSP00000307705	616
4451211	9606.ENSP00000477527	616
4443268	9606.ENSP00000358151	614
4434219	9606.ENSP00000252252	614
4451707	9606.ENSP00000482674	614
4446203	9606.ENSP00000377494	614
4437176	9606.ENSP00000295685	611
4434667	9606.ENSP00000258962	611
4451152	9606.ENSP00000476136	611
4441000	9606.ENSP00000339850	610
4435286	9606.ENSP00000263645	610
4440387	9606.ENSP00000332706	607
4442467	9606.ENSP00000354468	606
4432761	9606.ENSP00000196371	606
4439104	9606.ENSP00000317159	603
4441582	9606.ENSP00000346046	601
4448154	9606.ENSP00000401010	598
4446117	9606.ENSP00000376889	592
4451378	9606.ENSP00000479284	591
4450366	9606.ENSP00000451712	590
4441302	9606.ENSP00000343027	589
4441834	9606.ENSP00000348461	589
4439493	9606.ENSP00000322020	587
4440966	9606.ENSP00000339566	584
4451722	9606.ENSP00000482835	583
4442011	9606.ENSP00000350090	580
4436010	9606.ENSP00000272233	578
4437688	9606.ENSP00000300688	577
4436961	9606.ENSP00000292385	577
4437579	9606.ENSP00000299529	575
4435120	9606.ENSP00000262646	575
4437604	9606.ENSP00000299767	574
4439187	9606.ENSP00000318195	573
4446104	9606.ENSP00000376800	573
4447787	9606.ENSP00000393241	573
4437909	9606.ENSP00000302896	572
4438037	9606.ENSP00000304283	571
4432991	9606.ENSP00000216962	570
4448123	9606.ENSP00000400459	569
4436218	9606.ENSP00000276390	562
4436628	9606.ENSP00000285379	560
4436526	9606.ENSP00000283179	560
4439045	9606.ENSP00000316176	558
4433900	9606.ENSP00000244534	556
4435510	9606.ENSP00000264893	556
4435768	9606.ENSP00000267484	555
4438974	9606.ENSP00000315130	554
4435482	9606.ENSP00000264710	554
4436535	9606.ENSP00000283268	554
4439526	9606.ENSP00000322439	553
4451366	9606.ENSP00000479169	549
4438412	9606.ENSP00000308430	547
4441312	9606.ENSP00000343158	547
4439472	9606.ENSP00000321744	547
4441873	9606.ENSP00000348924	547
4444932	9606.ENSP00000366962	547
4450164	9606.ENSP00000445633	547
4451751	9606.ENSP00000483237	547
4436804	9606.ENSP00000289316	546
4451817	9606.ENSP00000483903	546
4444625	9606.ENSP00000364945	546
4451252	9606.ENSP00000477907	546
4444958	9606.ENSP00000367086	545
4441923	9606.ENSP00000349430	543
4432796	9606.ENSP00000203407	543
4433327	9606.ENSP00000225665	543
4444884	9606.ENSP00000366618	542
4451599	9606.ENSP00000481622	538
4434174	9606.ENSP00000251453	536
4437661	9606.ENSP00000300289	535
4437660	9606.ENSP00000300283	534
4448422	9606.ENSP00000406577	534
4444169	9606.ENSP00000362463	534
4443374	9606.ENSP00000358737	532
4432999	9606.ENSP00000217133	530
4441217	9606.ENSP00000342056	529
4443421	9606.ENSP00000358921	526
4432558	9606.ENSP00000005257	525
4440012	9606.ENSP00000328336	525
4433407	9606.ENSP00000228318	524
4436191	9606.ENSP00000275603	522
4450175	9606.ENSP00000445831	519
4434505	9606.ENSP00000256682	517
4450354	9606.ENSP00000451291	516
4442450	9606.ENSP00000354346	515
4436296	9606.ENSP00000278572	514
4435492	9606.ENSP00000264758	514
4434630	9606.ENSP00000258424	512
4449926	9606.ENSP00000440005	512
4438518	9606.ENSP00000309565	511
4434500	9606.ENSP00000256594	509
4439151	9606.ENSP00000317780	505
4437945	9606.ENSP00000303222	505
4444896	9606.ENSP00000366694	501
4448813	9606.ENSP00000416066	501
4439254	9606.ENSP00000319060	500
4435962	9606.ENSP00000270792	497
4448869	9606.ENSP00000417142	497
4451827	9606.ENSP00000484060	496
4444232	9606.ENSP00000362744	496
4441103	9606.ENSP00000340989	495
4443119	9606.ENSP00000357535	494
4450282	9606.ENSP00000449328	493
4437177	9606.ENSP00000295688	493
4437352	9606.ENSP00000296930	492
4436894	9606.ENSP00000290949	492
4447279	9606.ENSP00000385834	491
4441770	9606.ENSP00000347872	491
4450191	9606.ENSP00000446215	485
4432784	9606.ENSP00000200691	485
4434036	9606.ENSP00000247970	484
4450115	9606.ENSP00000444357	483
4433184	9606.ENSP00000221855	481
4436066	9606.ENSP00000273258	478
4439084	9606.ENSP00000316809	477
4441877	9606.ENSP00000348965	475
4437376	9606.ENSP00000297185	474
4444272	9606.ENSP00000362946	469
4441538	9606.ENSP00000345656	468
4449553	9606.ENSP00000430656	468
4450217	9606.ENSP00000447001	466
4440768	9606.ENSP00000337168	465
4437502	9606.ENSP00000298556	462
4447688	9606.ENSP00000391311	461
4439716	9606.ENSP00000324804	456
4451107	9606.ENSP00000474560	455
4441197	9606.ENSP00000341911	453
4435313	9606.ENSP00000263774	451
4446972	9606.ENSP00000382941	451
4437056	9606.ENSP00000294117	448
4450403	9606.ENSP00000452762	447
4441496	9606.ENSP00000345179	444
4440440	9606.ENSP00000333277	443
4443269	9606.ENSP00000358154	443
4447238	9606.ENSP00000385479	443
4447578	9606.ENSP00000388942	442
4444794	9606.ENSP00000366095	441
4445108	9606.ENSP00000367992	436
4441968	9606.ENSP00000349748	435
4434861	9606.ENSP00000261366	435
4451429	9606.ENSP00000479861	433
4444588	9606.ENSP00000364721	432
4440463	9606.ENSP00000333547	430
4449378	9606.ENSP00000426909	429
4447763	9606.ENSP00000392709	428
4442534	9606.ENSP00000354739	426
4438219	9606.ENSP00000306397	426
4447293	9606.ENSP00000385958	426
4432813	9606.ENSP00000205402	423
4432913	9606.ENSP00000216121	423
4434137	9606.ENSP00000250559	421
4436371	9606.ENSP00000280326	421
4444260	9606.ENSP00000362873	420
4434215	9606.ENSP00000252242	417
4434707	9606.ENSP00000259469	414
4434343	9606.ENSP00000254108	413
4442937	9606.ENSP00000356646	413
4449495	9606.ENSP00000429243	412
4445298	9606.ENSP00000369317	412
4443277	9606.ENSP00000358211	411
4438372	9606.ENSP00000307940	409
4433329	9606.ENSP00000225698	407
4443371	9606.ENSP00000358723	406
4433154	9606.ENSP00000221419	405
4449412	9606.ENSP00000427687	404
4432887	9606.ENSP00000215904	404
4442229	9606.ENSP00000352252	403
4443272	9606.ENSP00000358160	403
4444939	9606.ENSP00000366999	403
4451529	9606.ENSP00000480826	403
4451655	9606.ENSP00000482271	403
4451757	9606.ENSP00000483283	403
4451830	9606.ENSP00000484095	403
4451871	9606.ENSP00000484638	403
4451875	9606.ENSP00000484658	403
4451891	9606.ENSP00000484841	403
4435466	9606.ENSP00000264649	402
4445276	9606.ENSP00000369134	402
4439037	9606.ENSP00000316042	401
4443410	9606.ENSP00000358867	401
4444599	9606.ENSP00000364801	400
4444600	9606.ENSP00000364802	400
4444137	9606.ENSP00000362329	399
4445499	9606.ENSP00000370517	398
4439355	9606.ENSP00000320324	395
4438137	9606.ENSP00000305556	395
4439122	9606.ENSP00000317334	395
4441868	9606.ENSP00000348849	394
4436206	9606.ENSP00000276079	393
4451634	9606.ENSP00000482075	393
4447488	9606.ENSP00000387262	390
4438304	9606.ENSP00000307241	389
4435656	9606.ENSP00000265866	389
4442230	9606.ENSP00000352257	389
4449002	9606.ENSP00000419000	388
4435837	9606.ENSP00000268668	388
4445033	9606.ENSP00000367542	388
4449254	9606.ENSP00000423563	384
4442006	9606.ENSP00000350052	383
4450276	9606.ENSP00000449089	382
4446979	9606.ENSP00000383003	380
4433064	9606.ENSP00000219150	380
4448935	9606.ENSP00000417864	380
4441455	9606.ENSP00000344786	377
4441588	9606.ENSP00000346103	376
4450137	9606.ENSP00000444935	376
4439080	9606.ENSP00000316779	375
4439946	9606.ENSP00000327694	374
4437587	9606.ENSP00000299633	373
4445998	9606.ENSP00000376056	372
4444658	9606.ENSP00000365147	372
4433904	9606.ENSP00000244573	371
4436697	9606.ENSP00000286788	371
4434234	9606.ENSP00000252575	368
4434975	9606.ENSP00000261890	368
4439125	9606.ENSP00000317379	368
4441580	9606.ENSP00000346032	366
4438185	9606.ENSP00000306010	365
4442948	9606.ENSP00000356705	365
4449762	9606.ENSP00000435777	365
4436919	9606.ENSP00000291565	364
4435961	9606.ENSP00000270776	363
4436650	9606.ENSP00000285930	362
4438741	9606.ENSP00000311997	362
4436642	9606.ENSP00000285735	362
4442353	9606.ENSP00000353408	361
4439091	9606.ENSP00000316905	359
4442694	9606.ENSP00000355518	359
4449581	9606.ENSP00000431254	358
4435651	9606.ENSP00000265838	357
4437657	9606.ENSP00000300249	357
4432544	9606.ENSP00000000233	355
4434097	9606.ENSP00000249396	355
4441583	9606.ENSP00000346050	354
4446196	9606.ENSP00000377446	353
4444985	9606.ENSP00000367220	352
4439772	9606.ENSP00000325548	352
4449489	9606.ENSP00000429150	351
4433134	9606.ENSP00000220822	351
4434598	9606.ENSP00000258091	351
4437556	9606.ENSP00000299300	349
4444142	9606.ENSP00000362340	346
4450029	9606.ENSP00000442318	346
4448993	9606.ENSP00000418842	345
4435517	9606.ENSP00000264932	345
4433211	9606.ENSP00000222247	345
4443312	9606.ENSP00000358417	344
4451197	9606.ENSP00000477310	344
4444751	9606.ENSP00000365773	344
4433578	9606.ENSP00000233121	343
4448871	9606.ENSP00000417175	343
4441896	9606.ENSP00000349168	343
4434218	9606.ENSP00000252250	342
4449729	9606.ENSP00000435096	342
4449022	9606.ENSP00000419195	341
4439747	9606.ENSP00000325240	341
4433665	9606.ENSP00000236671	340
4434700	9606.ENSP00000259396	339
4451754	9606.ENSP00000483254	338
4436950	9606.ENSP00000292169	337
4448892	9606.ENSP00000417378	336
4440720	9606.ENSP00000336702	336
4438284	9606.ENSP00000307093	336
4434434	9606.ENSP00000255448	336
4432704	9606.ENSP00000168216	335
4450752	9606.ENSP00000464813	335
4440126	9606.ENSP00000329757	334
4441434	9606.ENSP00000344504	331
4435640	9606.ENSP00000265729	331
4448073	9606.ENSP00000399485	329
4446274	9606.ENSP00000377958	329
4446571	9606.ENSP00000379845	328
4434456	9606.ENSP00000256078	328
4448260	9606.ENSP00000403172	327
4442104	9606.ENSP00000351108	326
4443372	9606.ENSP00000358727	325
4435645	9606.ENSP00000265753	324
4435220	9606.ENSP00000263238	324
4446235	9606.ENSP00000377710	323
4433623	9606.ENSP00000234310	323
4449560	9606.ENSP00000430774	322
4436007	9606.ENSP00000272217	322
4447836	9606.ENSP00000394107	321
4443041	9606.ENSP00000357106	321
4434241	9606.ENSP00000252603	321
4434803	9606.ENSP00000260746	320
4442577	9606.ENSP00000354947	320
4445107	9606.ENSP00000367991	318
4443265	9606.ENSP00000358142	316
4433656	9606.ENSP00000235835	316
4433798	9606.ENSP00000241337	313
4441551	9606.ENSP00000345771	313
4434211	9606.ENSP00000252102	312
4451676	9606.ENSP00000482445	312
4434392	9606.ENSP00000254878	309
4439911	9606.ENSP00000327268	309
4450215	9606.ENSP00000446955	309
4435953	9606.ENSP00000270625	308
4449548	9606.ENSP00000430494	308
4433561	9606.ENSP00000232564	307
4446224	9606.ENSP00000377640	307
4446550	9606.ENSP00000379704	307
4445389	9606.ENSP00000369784	306
4449992	9606.ENSP00000441543	305
4446721	9606.ENSP00000380869	305
4434937	9606.ENSP00000261733	305
4449872	9606.ENSP00000438507	304
4446026	9606.ENSP00000376276	304
4440812	9606.ENSP00000337697	302
4443202	9606.ENSP00000357835	302
4435079	9606.ENSP00000262428	301
4445281	9606.ENSP00000369176	300
4432616	9606.ENSP00000037243	300
4436099	9606.ENSP00000273920	299
4449622	9606.ENSP00000432282	299
4433911	9606.ENSP00000244745	299
4441946	9606.ENSP00000349588	298
4444962	9606.ENSP00000367123	298
4435180	9606.ENSP00000263025	298
4436990	9606.ENSP00000292807	297
4442375	9606.ENSP00000353590	297
4444422	9606.ENSP00000363745	297
4433455	9606.ENSP00000229268	297
4451602	9606.ENSP00000481646	295
4433466	9606.ENSP00000229340	295
4450375	9606.ENSP00000451866	293
4448731	9606.ENSP00000414359	293
4442171	9606.ENSP00000351646	293
4449736	9606.ENSP00000435289	293
4441426	9606.ENSP00000344456	293
4442589	9606.ENSP00000355011	292
4450670	9606.ENSP00000462435	292
4433698	9606.ENSP00000238018	291
4437859	9606.ENSP00000302486	290
4448124	9606.ENSP00000400467	289
4444144	9606.ENSP00000362352	289
4444027	9606.ENSP00000361883	287
4434247	9606.ENSP00000252699	286
4440309	9606.ENSP00000331901	286
4435243	9606.ENSP00000263354	285
4443027	9606.ENSP00000357065	285
4439758	9606.ENSP00000325376	284
4434264	9606.ENSP00000252951	284
4451272	9606.ENSP00000478121	284
4442199	9606.ENSP00000351926	284
4447650	9606.ENSP00000390265	283
4438491	9606.ENSP00000309334	283
4447586	9606.ENSP00000389103	283
4446810	9606.ENSP00000381448	281
4446579	9606.ENSP00000379888	281
4450071	9606.ENSP00000443189	280
4442031	9606.ENSP00000350310	280
4434491	9606.ENSP00000256496	280
4443451	9606.ENSP00000359077	280
4439087	9606.ENSP00000316861	280
4450308	9606.ENSP00000450436	279
4444457	9606.ENSP00000363970	278
4441045	9606.ENSP00000340466	278
4446528	9606.ENSP00000379602	278
4447564	9606.ENSP00000388713	277
4443829	9606.ENSP00000360939	277
4439955	9606.ENSP00000327801	276
4434273	9606.ENSP00000253024	275
4442076	9606.ENSP00000350757	275
4435708	9606.ENSP00000266544	275
4436283	9606.ENSP00000278353	274
4446270	9606.ENSP00000377941	273
4442653	9606.ENSP00000355325	273
4446924	9606.ENSP00000382428	272
4449502	9606.ENSP00000429374	271
4447540	9606.ENSP00000388169	271
4442019	9606.ENSP00000350199	270
4447130	9606.ENSP00000384537	270
4434967	9606.ENSP00000261875	270
4447078	9606.ENSP00000384136	269
4438836	9606.ENSP00000313050	268
4435436	9606.ENSP00000264436	268
4445463	9606.ENSP00000370223	268
4435943	9606.ENSP00000270458	268
4443872	9606.ENSP00000361140	267
4438061	9606.ENSP00000304592	267
4432645	9606.ENSP00000064724	266
4436581	9606.ENSP00000284320	265
4438692	9606.ENSP00000311449	265
4444042	9606.ENSP00000361935	265
4445386	9606.ENSP00000369757	265
4433047	9606.ENSP00000218230	265
4433489	9606.ENSP00000230048	264
4433493	9606.ENSP00000230085	264
4442728	9606.ENSP00000355657	264
4447562	9606.ENSP00000388658	264
4435910	9606.ENSP00000269848	262
4448498	9606.ENSP00000408910	262
4444140	9606.ENSP00000362334	261
4446653	9606.ENSP00000380378	261
4450976	9606.ENSP00000470972	261
4445957	9606.ENSP00000375730	261
4442251	9606.ENSP00000352438	261
4436114	9606.ENSP00000274137	260
4438861	9606.ENSP00000313432	260
4443861	9606.ENSP00000361076	259
4433430	9606.ENSP00000228825	259
4448854	9606.ENSP00000416959	258
4438885	9606.ENSP00000313829	258
4437748	9606.ENSP00000301329	257
4445444	9606.ENSP00000370109	256
4446333	9606.ENSP00000378323	256
4436622	9606.ENSP00000285208	256
4441252	9606.ENSP00000342374	255
4440238	9606.ENSP00000331210	255
4445432	9606.ENSP00000370023	255
4432978	9606.ENSP00000216714	254
4436680	9606.ENSP00000286548	253
4443026	9606.ENSP00000357060	251
4443862	9606.ENSP00000361083	251
4436601	9606.ENSP00000284719	250
4439023	9606.ENSP00000315774	250
4446030	9606.ENSP00000376297	250
4444796	9606.ENSP00000366109	250
4445244	9606.ENSP00000368959	249
4438689	9606.ENSP00000311430	249
4442795	9606.ENSP00000356015	248
4439424	9606.ENSP00000321259	247
4437681	9606.ENSP00000300605	247
4433984	9606.ENSP00000246533	247
4435914	9606.ENSP00000269886	247
4439939	9606.ENSP00000327589	247
