Uniprot,#Peptides_Macron2018A,#Peptides_Macron2020,#Peptides_Zhang2015,#Peptides_Guldbrandsen2014,#Peptides_Macron2018B,#Peptides_Schutzer2010,#Peptides_NunezGalindo2015,#Peptides_Zougman2007,#Peptides_Schilde2018,#Peptides_Guo2015,#Peptides_Stoop2010,#Studies
P01023,5.0,7.0,84.0,153.0,3.0,149.0,,75.0,52.0,146.0,26.0,10
P01019,29.0,38.0,23.0,111.0,25.0,93.0,10.0,18.0,16.0,26.0,12.0,11
P01011,36.0,64.0,26.0,127.0,33.0,78.0,19.0,15.0,17.0,44.0,10.0,11
P01009,9.0,12.0,50.0,79.0,6.0,106.0,3.0,35.0,23.0,76.0,21.0,11
Q8WXS5,5.0,2.0,,,1.0,,,,,,,3
Q8WXS3,3.0,2.0,,,,,,,,,,2
Q8WY21,10.0,14.0,26.0,20.0,6.0,12.0,,6.0,3.0,,,8
P43146,26.0,24.0,26.0,37.0,12.0,23.0,,15.0,8.0,,,8
P11279,2.0,3.0,6.0,5.0,1.0,,,,,,,5
P43121,22.0,21.0,23.0,31.0,15.0,43.0,8.0,11.0,12.0,14.0,,10
O76096,1.0,,,,,,,,,,,1
O76095,1.0,,,,,,,,,,,1
O00499,8.0,7.0,4.0,2.0,2.0,1.0,,,,,,6
O76076,4.0,5.0,3.0,5.0,1.0,,,,,,,5
O76070,12.0,13.0,8.0,4.0,12.0,2.0,1.0,,,,,7
P11234,1.0,,,,,,,,,,,1
Q15782,4.0,8.0,12.0,16.0,3.0,6.0,,2.0,,,,7
P11226,1.0,4.0,6.0,6.0,,1.0,,,,,,5
P11215,6.0,4.0,15.0,8.0,,,,,,,,4
O76041,3.0,3.0,2.0,,,,,,,,,3
Q8WXH0,1.0,3.0,,,,,,,,,,2
Q15768,10.0,8.0,8.0,5.0,5.0,4.0,,,,,,6
P53396,1.0,,,,,,,,,,,1
O76024,2.0,3.0,,,1.0,,,,,,,3
Q15746,5.0,5.0,3.0,1.0,1.0,1.0,,,,,,6
O43173,6.0,9.0,14.0,14.0,3.0,3.0,,,,,,6
Q15735,1.0,,,,,,,,,,,1
Q8WXD9,1.0,3.0,,,,1.0,,,,,,3
