Uniprot,#Peptides_Macron2018A,#Peptides_Macron2020,#Peptides_Zhang2015,#Peptides_Guldbrandsen2014,#Peptides_Macron2018B,#Peptides_Schutzer2010,#Peptides_NunezGalindo2015,#Peptides_Zougman2007,#Peptides_Schilde2018,#Peptides_Guo2015,#Peptides_Stoop2010,#Studies
Q15256,7.0,8.0,7.0,7.0,4.0,6.0,2.0,,,,,7
A6NE02,1.0,3.0,,,,,,,,,,2
Q6UVY6,6.0,6.0,11.0,5.0,1.0,,,,,,,5
P61960,2.0,3.0,3.0,,2.0,1.0,,,,,,5
P61956,3.0,2.0,,,3.0,,,,,,,3
Q15233,4.0,3.0,3.0,,2.0,1.0,,,,,,5
Q15223,8.0,10.0,8.0,15.0,6.0,9.0,3.0,,4.0,,,8
Q86YD5,2.0,,4.0,5.0,1.0,,,,,,,4
Q86YD3,1.0,3.0,5.0,4.0,2.0,4.0,1.0,,,,,7
P61925,1.0,,,2.0,,,,,,,,2
Q8TEA8,1.0,2.0,4.0,2.0,2.0,,,,,,,5
O00391,22.0,27.0,38.0,40.0,15.0,21.0,5.0,12.0,11.0,14.0,,10
O94898,4.0,3.0,18.0,5.0,1.0,5.0,,,,,,6
P61916,19.0,33.0,15.0,19.0,13.0,,6.0,,3.0,18.0,3.0,9
O94885,1.0,,,,,,,,,,,1
P41439,2.0,3.0,,,2.0,,,,,,,3
O94875,5.0,3.0,,,,,,,,,,2
P48163,2.0,2.0,9.0,8.0,1.0,5.0,,,,,,6
P04899,1.0,,,,1.0,,,,,,,2
Q8TDZ2,1.0,3.0,,,,,,,,,,2
P16278,2.0,3.0,12.0,7.0,,,,,,,,4
Q92796,1.0,,,1.0,1.0,,,,,,,3
Q8TDY8,3.0,2.0,6.0,4.0,,,,,,,,4
O00329,1.0,,,,,,,,,,,1
O94826,2.0,,,,,,,,,,,1
Q8TDX6,2.0,2.0,,,1.0,,,,,,,3
O94813,4.0,8.0,2.0,1.0,1.0,,,,,,,5
Q8TDW7,9.0,5.0,23.0,2.0,3.0,,,,,,,5
P63098,1.0,,,,,1.0,,,,,,2
Q8TDW0,1.0,,,,,,,,,,,1
O00305,1.0,,,,,,,,,,,1
Q99497,14.0,19.0,14.0,16.0,11.0,12.0,3.0,9.0,4.0,10.0,,10
Q92765,10.0,11.0,10.0,12.0,7.0,,5.0,3.0,4.0,6.0,,9
Q6UVK1,35.0,31.0,51.0,45.0,12.0,23.0,,4.0,2.0,4.0,,9
P51693,67.0,80.0,40.0,93.0,47.0,85.0,24.0,21.0,15.0,50.0,10.0,11
Q92754,1.0,,,,,,,,,,,1
Q92752,22.0,29.0,29.0,27.0,13.0,24.0,3.0,10.0,6.0,14.0,,10
Q86XX4,5.0,7.0,10.0,3.0,1.0,,,,,,,5
P51688,1.0,4.0,10.0,2.0,,1.0,,,,,,5
P51687,1.0,6.0,2.0,,,,,,,,,3
Q8IY17,1.0,,,1.0,,1.0,,,,,,3
Q92747,1.0,,,,,,,,,,,1
Q92743,16.0,15.0,13.0,10.0,11.0,7.0,3.0,3.0,2.0,,,9
Q86Y82,7.0,8.0,7.0,5.0,6.0,3.0,2.0,2.0,,,,8
Q8TE58,1.0,3.0,2.0,,,,,,,,,3
Q8TE57,1.0,,,1.0,,,,,,,,2
Q8TE56,1.0,2.0,,,1.0,,,,,,,3
Q99447,1.0,,,,,1.0,,,,,,2
P51649,1.0,,,,,1.0,,,,,,2
Q8TDQ1,1.0,,2.0,,1.0,,,,,,,3
Q8TDQ0,5.0,6.0,5.0,6.0,3.0,3.0,,,,,,6
Q99439,2.0,2.0,,,1.0,,,,,,,3
Q8IXL6,21.0,18.0,15.0,15.0,11.0,11.0,1.0,,,,,7
Q99436,3.0,3.0,3.0,1.0,,,,,,,,4
Q99435,38.0,46.0,42.0,68.0,32.0,52.0,15.0,30.0,18.0,50.0,10.0,11
P63027,3.0,3.0,3.0,2.0,2.0,3.0,,,,,,6
Q99426,3.0,4.0,,1.0,3.0,,,,,,,4
Q86Y38,16.0,19.0,21.0,21.0,6.0,10.0,1.0,2.0,2.0,,,9
P63010,9.0,9.0,13.0,12.0,6.0,14.0,,,3.0,4.0,,8
Q86Y22,2.0,4.0,,1.0,3.0,1.0,1.0,,,,,6
P31153,5.0,4.0,4.0,3.0,,,,,,,,4
P31151,1.0,2.0,,3.0,1.0,3.0,,,,,,5
Q8TDN1,1.0,,,,1.0,,1.0,,,,,3
P63000,5.0,4.0,,2.0,1.0,,,,,,,4
P46952,2.0,4.0,2.0,1.0,,,,,,,,4
P31146,12.0,16.0,8.0,3.0,9.0,1.0,,,,,,6
P51608,1.0,,,,,,,,,,,1
P58335,1.0,2.0,2.0,1.0,,,,,,,,4
Q6WN34,3.0,4.0,5.0,1.0,,,,,,,,4
P46940,9.0,10.0,6.0,3.0,4.0,,,,,,,5
P46926,3.0,4.0,12.0,3.0,1.0,,,,,,,5
P25398,2.0,,,,1.0,,,,,,,2
O75594,2.0,,3.0,2.0,1.0,,,,,,,4
Q15198,1.0,3.0,6.0,1.0,2.0,,,,,,,5
Q9HDB5,9.0,14.0,,14.0,7.0,,,,2.0,,,5
P26447,3.0,5.0,3.0,,2.0,1.0,,,,,,5
P30041,7.0,6.0,13.0,8.0,7.0,3.0,,,,,,6
Q15185,1.0,,,,,,,,,,,1
Q15181,1.0,,,,,,,,,,,1
Q8TDG4,1.0,,,,,,,,,,,1
Q15166,2.0,4.0,5.0,6.0,2.0,1.0,,,,,,6
Q15165,1.0,,6.0,1.0,,,,,,,,3
Q8TDF5,6.0,6.0,7.0,3.0,1.0,2.0,,,,,,6
Q8IXA5,1.0,,,,,,,,,,,1
Q15155,9.0,10.0,,,5.0,8.0,,,,,,4
Q15154,1.0,2.0,3.0,1.0,,,,,,,,4
Q15149,32.0,43.0,5.0,1.0,8.0,,,,,,,5
Q504Y2,3.0,4.0,4.0,3.0,2.0,,,,,,,5
Q504Y0,2.0,,9.0,6.0,,9.0,,,,,,4
Q8TDC3,1.0,,,,,,,,,,,1
A6NCL7,2.0,,,,,,,,,,,1
P15169,7.0,9.0,8.0,11.0,5.0,10.0,,1.0,,,,7
Q15113,24.0,42.0,23.0,28.0,21.0,16.0,15.0,15.0,14.0,30.0,3.0,11
O00291,1.0,2.0,,,,,,,,,,2
Q15102,2.0,,,1.0,,,,,,,,2
Q9HD89,4.0,2.0,,,,,,,,,,2
O00273,1.0,,,,1.0,,,,,,,2
O94779,12.0,14.0,18.0,12.0,2.0,6.0,,,,,,6
Q8IWY4,5.0,8.0,5.0,9.0,3.0,1.0,,,,,,6
P48066,2.0,3.0,,,2.0,,,,,,,3
O94772,8.0,7.0,5.0,8.0,6.0,,4.0,,,6.0,,7
P48061,2.0,3.0,,2.0,2.0,2.0,,,,6.0,,6
O00264,6.0,8.0,7.0,7.0,2.0,11.0,,,,,,6
O94769,21.0,21.0,23.0,20.0,11.0,14.0,3.0,2.0,9.0,12.0,,10
O94766,4.0,6.0,8.0,5.0,2.0,5.0,,,,,,6
Q9HCU4,22.0,24.0,25.0,19.0,8.0,10.0,1.0,4.0,4.0,8.0,,10
Q9HCU0,8.0,10.0,11.0,6.0,7.0,8.0,,,,,,6
P16190,10.0,,,,,,,2.0,,,,2
O00244,3.0,,,6.0,2.0,1.0,,,,,,4
O00241,6.0,6.0,4.0,8.0,,7.0,,,,,,5
Q8IWV2,12.0,17.0,29.0,31.0,6.0,,,13.0,6.0,,,7
Q9HD45,3.0,2.0,5.0,5.0,2.0,4.0,,,,,,6
Q8TCZ2,23.0,21.0,11.0,26.0,9.0,,4.0,,6.0,,2.0,8
O00233,2.0,,,1.0,,,,,,,,2
Q8IWU5,5.0,8.0,6.0,4.0,4.0,6.0,1.0,,,,,7
Q92692,6.0,8.0,7.0,4.0,5.0,2.0,,,,,,6
P31431,3.0,4.0,2.0,2.0,1.0,1.0,,,,,,6
Q92686,3.0,4.0,,,2.0,3.0,,,,,,4
Q8IWT1,6.0,6.0,5.0,3.0,4.0,3.0,1.0,,,,,7
P16157,2.0,3.0,,,1.0,34.0,,,,,,4
P16152,6.0,6.0,15.0,15.0,2.0,5.0,,3.0,,,,7
Q92673,15.0,20.0,45.0,35.0,9.0,12.0,,16.0,10.0,6.0,,9
Q8TD84,3.0,3.0,10.0,1.0,,,,,,,,4
P16144,2.0,5.0,11.0,6.0,1.0,,,,,,,5
Q8IWQ3,2.0,4.0,2.0,2.0,1.0,,,,,,,5
P51587,1.0,5.0,2.0,,,1.0,,,,,,4
Q8IX12,2.0,,,,,,,,,,,1
Q9HCM2,5.0,8.0,16.0,6.0,5.0,1.0,,,,,,6
P51572,2.0,2.0,,,1.0,,,,,,,3
Q8IX05,2.0,,,1.0,1.0,,,,,,,3
Q13938,4.0,3.0,2.0,4.0,,,,,,,,4
Q9HCL0,1.0,6.0,4.0,2.0,1.0,,,,,,,5
P27348,7.0,8.0,,11.0,,4.0,,,,,,4
Q92626,9.0,10.0,15.0,5.0,5.0,1.0,,,,,,6
Q9HCK4,23.0,28.0,24.0,23.0,6.0,15.0,,4.0,,,,7
Q86X52,1.0,,,,,,,,,,,1
Q86X51,1.0,,,,,,,,,,,1
Q9HCJ6,1.0,3.0,7.0,2.0,,,,,,,,4
Q8TD19,1.0,,,,,,,,,,,1
Q8TD10,1.0,,,,1.0,,,,,,,2
Q8IWK6,3.0,4.0,3.0,2.0,,,,,,,,4
Q86X29,13.0,15.0,10.0,7.0,10.0,6.0,3.0,,,,,7
P51512,2.0,3.0,2.0,,1.0,,,,,,,4
P51511,1.0,3.0,6.0,1.0,,1.0,,,,,,5
P26373,2.0,2.0,,,1.0,,,,,,,3
P58215,7.0,7.0,11.0,7.0,2.0,,,,,,,5
Q9HCB6,22.0,23.0,26.0,30.0,14.0,8.0,8.0,9.0,6.0,18.0,,10
Q86WK6,1.0,3.0,,,1.0,,,,,,,3
Q15084,8.0,9.0,9.0,8.0,9.0,10.0,1.0,,,,,7
Q03692,1.0,,,,,,,,,,,1
Q15075,3.0,,,,,,,,,,,1
Q15063,26.0,23.0,20.0,19.0,9.0,3.0,1.0,,,,,7
P14923,3.0,4.0,5.0,1.0,,,,,,,,4
Q5H9F3,1.0,,,,,,,,,,,1
Q8IWA4,1.0,,,,1.0,,,,,,,2
P61769,20.0,30.0,10.0,35.0,16.0,30.0,6.0,7.0,3.0,10.0,4.0,11
Q15056,1.0,4.0,,,,,,,,,,2
O95167,1.0,,,,1.0,,,,,,,2
P09758,1.0,,,,,,,,,,,1
Q15035,1.0,,,,,,,,,,,1
P41271,12.0,14.0,6.0,4.0,5.0,2.0,4.0,4.0,,6.0,,9
O95196,5.0,6.0,,2.0,2.0,3.0,,1.0,,4.0,,7
Q9UFP1,4.0,7.0,13.0,12.0,2.0,,,,,,,5
Q15019,3.0,3.0,,,1.0,,,,,,,3
O00193,1.0,,,,,,,,,,,1
O00186,1.0,,,,,,,,,,,1
P0CG47,15.0,21.0,13.0,12.0,11.0,,,,,,,5
Q9HBW1,4.0,5.0,10.0,6.0,2.0,4.0,,,,,,6
P36578,2.0,,2.0,,1.0,,,,,,,3
P0CG39,5.0,4.0,,,,,,,,,,2
Q9HC77,1.0,,,,1.0,1.0,,,,,,3
O00160,2.0,4.0,,,,,,,,,,2
P41222,67.0,79.0,19.0,92.0,54.0,117.0,25.0,12.0,9.0,32.0,6.0,11
O00154,2.0,2.0,,,,,,,,,,2
O00151,1.0,3.0,,,,,,,,,,2
P41217,3.0,5.0,5.0,10.0,4.0,4.0,1.0,2.0,,,,8
Q9HC57,6.0,8.0,4.0,2.0,4.0,4.0,3.0,,,,,7
Q9HC56,17.0,20.0,20.0,19.0,14.0,13.0,1.0,4.0,4.0,,,9
O00142,1.0,,,,1.0,,,,,,,2
P16083,4.0,3.0,5.0,6.0,2.0,3.0,,,,,,6
P36543,1.0,,,,,,,,,,,1
Q92598,2.0,3.0,,,,,,,,,,2
Q92597,5.0,3.0,,1.0,1.0,1.0,,,,,,5
Q9HC38,7.0,8.0,10.0,11.0,3.0,,,,,,,5
Q8TBY8,1.0,,,,,,,,,,,1
Q9HBR0,29.0,41.0,22.0,18.0,20.0,16.0,3.0,,2.0,,,8
P62072,1.0,,,,1.0,,,,,,,2
Q92581,1.0,,,,,,,,,,,1
O00115,3.0,4.0,5.0,6.0,3.0,5.0,,,,,,6
Q86VZ4,12.0,18.0,14.0,10.0,10.0,9.0,2.0,,,,,7
Q13867,3.0,4.0,14.0,11.0,2.0,3.0,,1.0,,,,7
Q92563,14.0,14.0,15.0,15.0,10.0,10.0,5.0,2.0,6.0,6.0,,10
Q9HC07,1.0,4.0,,1.0,1.0,,,,,,,4
Q969W9,1.0,,,,,,,,,,,1
P16035,20.0,21.0,16.0,26.0,15.0,17.0,14.0,14.0,6.0,14.0,,10
P05060,152.0,183.0,53.0,128.0,103.0,193.0,39.0,25.0,16.0,60.0,28.0,11
Q5SZK8,8.0,12.0,28.0,17.0,6.0,4.0,,,,,,6
Q92542,2.0,3.0,9.0,4.0,1.0,5.0,,,,,,6
Q9HBL0,1.0,,,,,,,,,,,1
Q5SZI1,1.0,,,,1.0,,,,,,,2
Q8IVN8,2.0,,5.0,5.0,,,,,,,,3
Q92520,22.0,26.0,17.0,33.0,13.0,43.0,13.0,,8.0,22.0,6.0,10
Q8TC26,1.0,2.0,,,,,,,,,,2
Q92508,1.0,,,,,,,,,,,1
Q8TBP5,3.0,3.0,2.0,1.0,2.0,2.0,,,,,,6
P46779,2.0,3.0,,,2.0,,,,,,,3
P46778,1.0,,,,,,,,,,,1
P46777,2.0,,,,,,,,,,,1
Q86VR8,1.0,2.0,,1.0,1.0,,,,,,,4
Q86VP1,4.0,2.0,3.0,2.0,1.0,,,,,,,5
Q8TBM8,1.0,,,1.0,,,,,,,,2
Q86VM9,1.0,,,,,,,,,,,1
Q8IVF2,1.0,5.0,,,,,,,,,,2
Q14061,1.0,,,1.0,1.0,,,,,,,3
P14868,1.0,2.0,,,,,,,,,,2
P14867,2.0,2.0,,,,,,,,,,2
P14866,2.0,5.0,,,1.0,1.0,,,,,,4
Q9HBB8,1.0,,2.0,1.0,,,,,,,,3
P14854,2.0,2.0,,,1.0,,,,,,,3
P30260,1.0,,,,,,,,,,,1
Q9UHB9,2.0,,,6.0,,,1.0,,,,,3
Q8IVA1,3.0,4.0,2.0,1.0,2.0,,,,,,,5
Q8TBE3,1.0,,,,,1.0,,,,,,2
Q5H8C1,2.0,3.0,10.0,2.0,,,,,,,,4
P68363,11.0,9.0,,9.0,3.0,,,,,,,4
Q6NW40,14.0,21.0,13.0,18.0,8.0,,2.0,,6.0,,,7
P61626,12.0,18.0,7.0,21.0,9.0,9.0,6.0,7.0,2.0,,,9
Q5H8A3,1.0,,,,,,,,,,,1
Q86VB7,24.0,34.0,33.0,31.0,18.0,16.0,9.0,13.0,8.0,22.0,,10
P61604,6.0,7.0,5.0,2.0,7.0,4.0,,,,,,6
P20036,2.0,2.0,2.0,1.0,,,,,,,,4
Q9HAV7,1.0,,,,,,,,,,,1
Q9HAV5,3.0,4.0,2.0,4.0,1.0,,,,,,,5
Q9HB71,3.0,4.0,4.0,2.0,4.0,,,,,,,5
Q12926,1.0,,,,,,,,,,,1
Q8IUX7,25.0,26.0,27.0,18.0,17.0,9.0,3.0,2.0,5.0,10.0,,10
Q9HB63,1.0,,,,,,,,,,,1
Q9HAT2,7.0,8.0,14.0,23.0,5.0,12.0,,3.0,7.0,,,8
Q9HB40,2.0,5.0,7.0,2.0,,,,,,,,4
P62166,1.0,2.0,,,,,,,,,,2
Q6IPX3,2.0,,,,1.0,,,,,,,2
Q92485,7.0,4.0,10.0,9.0,4.0,6.0,,,,,,6
Q8TB96,4.0,3.0,7.0,,,,,,,,,3
Q13772,1.0,,,,,,,,,,,1
P27695,1.0,,,,,,,,,,,1
Q86UX2,31.0,30.0,42.0,45.0,23.0,42.0,4.0,15.0,11.0,20.0,,10
P62826,2.0,2.0,,1.0,,,,,,,,3
Q8IV16,1.0,3.0,,,1.0,,,,,,,3
Q86V85,2.0,2.0,5.0,3.0,1.0,2.0,,,,,,6
Q13740,23.0,24.0,25.0,41.0,19.0,41.0,4.0,6.0,11.0,12.0,,10
Q8IV08,7.0,9.0,11.0,11.0,5.0,7.0,1.0,3.0,4.0,8.0,,10
P78559,16.0,13.0,,,4.0,1.0,,,,,,4
Q6IQ22,2.0,,,1.0,,,,,,,,2
Q8IUM7,1.0,,,,,,,,,,,1
P78536,5.0,11.0,3.0,5.0,2.0,7.0,,,,,,6
Q9BZV3,1.0,,,,,,,,,,,1
P58062,1.0,,,,,,,,,,,1
Q8IUK8,1.0,,5.0,5.0,,1.0,,,,1.0,,5
Q8IUK5,6.0,10.0,9.0,11.0,4.0,5.0,,,,,,6
Q58EX2,2.0,5.0,12.0,3.0,1.0,,,,,,,5
Q6IPM2,1.0,2.0,,,,,1.0,,,,,3
Q6P179,1.0,,18.0,10.0,,2.0,,,,,,4
P78509,49.0,55.0,92.0,114.0,35.0,80.0,6.0,37.0,34.0,52.0,3.0,11
P58743,1.0,,,,,,,,,,,1
Q86UP2,1.0,2.0,,,,,,,,,,2
Q8TAM6,3.0,4.0,,4.0,,1.0,,,,,,4
Q6UXH9,11.0,9.0,16.0,7.0,5.0,,,,,,,5
Q9BZR6,12.0,16.0,13.0,21.0,12.0,18.0,2.0,5.0,7.0,14.0,,10
Q5SYB0,1.0,3.0,,1.0,1.0,,,,,,,4
P14780,1.0,,2.0,,,,,,,,,2
Q86UN3,10.0,14.0,11.0,12.0,6.0,14.0,3.0,3.0,3.0,10.0,,10
Q86UN2,4.0,5.0,8.0,7.0,2.0,5.0,,,,,,6
Q14157,2.0,4.0,,,1.0,,,,,,,3
Q4LDE5,11.0,12.0,19.0,9.0,4.0,,,,,,,5
Q86UL8,1.0,,,,1.0,,,,,,,2
O95336,6.0,7.0,9.0,6.0,3.0,5.0,,,,,,6
Q8IUC8,10.0,10.0,13.0,17.0,7.0,10.0,,,,,,6
P61586,3.0,,2.0,1.0,1.0,,,,,,,4
Q8TAG5,19.0,29.0,8.0,19.0,12.0,13.0,6.0,,,10.0,3.0,9
Q9BZM5,5.0,6.0,6.0,4.0,4.0,4.0,,,,,,6
Q8TAE8,1.0,,,,,,,,,,,1
Q8TAD2,1.0,,,2.0,,,,,,,,2
Q8TAC9,2.0,2.0,,,1.0,,,,,,,3
Q86UE4,4.0,3.0,,,,,,,,,,2
O95390,5.0,5.0,9.0,9.0,3.0,3.0,,3.0,,,,7
Q8TAB3,6.0,10.0,9.0,8.0,3.0,,,,,,,5
Q5SY80,1.0,,,,,,,,,,,1
O95965,12.0,15.0,14.0,11.0,2.0,,,,,,,5
Q86UD1,5.0,4.0,10.0,11.0,6.0,3.0,1.0,8.0,4.0,,,9
Q6H9L7,2.0,,,,,,,,,,,1
Q9BZC7,10.0,9.0,8.0,6.0,6.0,6.0,4.0,,,,,7
Q7L0X0,1.0,2.0,12.0,6.0,2.0,4.0,,,,,,6
Q8IU85,1.0,,,,,,,,,,,1
P20155,2.0,2.0,,,2.0,,,,,,,3
P56817,5.0,4.0,8.0,5.0,,4.0,,,,,,5
Q13683,1.0,3.0,5.0,1.0,1.0,2.0,,,,,,6
Q6NUJ2,1.0,2.0,2.0,,1.0,1.0,,,,,,5
Q6NUI6,4.0,10.0,3.0,1.0,2.0,,,,,,,5
P48539,8.0,8.0,2.0,2.0,6.0,4.0,3.0,,,,,7
Q86TY3,3.0,6.0,6.0,2.0,2.0,,,,,6.0,,6
Q5T9L3,1.0,,,,1.0,,,,,,,2
Q99075,2.0,3.0,,,1.0,1.0,,,,,,4
Q13643,1.0,,,,,,,,,,,1
Q13642,4.0,6.0,4.0,7.0,4.0,1.0,,,,,,6
Q13641,3.0,5.0,5.0,6.0,2.0,6.0,,,,,,6
Q13634,5.0,9.0,7.0,4.0,5.0,1.0,,,,,,6
Q9BYX2,1.0,,,,1.0,,2.0,,,,,3
P04406,16.0,19.0,17.0,17.0,12.0,,3.0,11.0,6.0,18.0,,9
Q8IZY2,1.0,3.0,,,,,,,,,,2
Q8NES3,7.0,6.0,11.0,11.0,4.0,5.0,2.0,,,,,7
Q86U42,2.0,,,,,,,,,,,1
Q9BZ76,6.0,6.0,15.0,,,,,,,,,3
P78423,4.0,6.0,3.0,,1.0,2.0,1.0,,,,,6
Q14210,1.0,2.0,,,1.0,,,,,,,3
P78417,6.0,7.0,8.0,7.0,4.0,3.0,,,,,,6
Q14242,2.0,,,,1.0,1.0,,,,,,3
P46531,4.0,11.0,13.0,8.0,3.0,,,,,,,5
P25786,5.0,7.0,3.0,,4.0,,,,,,,4
Q9UEF7,1.0,,4.0,1.0,,,,,,,,3
P26038,29.0,36.0,32.0,33.0,20.0,21.0,4.0,3.0,3.0,,,9
P26022,1.0,,2.0,2.0,,,,,,,,3
P09972,27.0,32.0,28.0,33.0,24.0,42.0,10.0,15.0,10.0,18.0,,10
P14625,18.0,29.0,28.0,29.0,17.0,14.0,1.0,6.0,,8.0,,9
P14621,6.0,6.0,8.0,8.0,5.0,2.0,1.0,3.0,,,,8
P09960,13.0,10.0,17.0,13.0,2.0,1.0,,,,,,6
P09958,5.0,8.0,3.0,4.0,3.0,1.0,,,,,,6
P61457,3.0,3.0,,1.0,1.0,,,,,,,4
Q9BYJ0,2.0,2.0,3.0,2.0,,,,,,,,4
P09936,7.0,8.0,7.0,6.0,7.0,1.0,,,2.0,,,7
Q86TE4,5.0,6.0,5.0,5.0,2.0,1.0,,,,,,6
Q9BYH1,14.0,13.0,16.0,22.0,10.0,20.0,5.0,11.0,4.0,16.0,4.0,11
Q6ZWH5,1.0,,,,,,,,,,,1
P09913,1.0,,,,,,,,,,,1
P09912,1.0,,,,,,,,,,,1
P56730,1.0,,,,,,,,,,,1
Q9BYC5,2.0,9.0,5.0,1.0,,,,,,,,4
P05305,2.0,2.0,,,,,,,,,,2
Q9BYB0,1.0,,,,,,,,,,,1
O43150,1.0,,,,,,,,,,,1
P56705,4.0,4.0,6.0,3.0,,,,,,,,4
Q13591,2.0,3.0,8.0,5.0,,,,,,,,4
Q13586,1.0,2.0,3.0,,,,,,,,,3
P36222,21.0,30.0,22.0,41.0,17.0,31.0,9.0,20.0,16.0,28.0,4.0,11
Q658N2,10.0,14.0,8.0,8.0,8.0,2.0,3.0,,,,,7
Q9Y4P8,1.0,,,,,,,,,,,1
P24821,22.0,16.0,34.0,27.0,6.0,1.0,,,,,,6
Q13561,2.0,3.0,,,,,,,,,,2
O75531,1.0,,,,,,,,,,,1
Q13557,4.0,3.0,6.0,7.0,,5.0,,2.0,,,,6
Q13554,4.0,6.0,7.0,9.0,,4.0,1.0,,,4.0,,7
P78380,1.0,3.0,,1.0,1.0,,,,,,,4
P05362,9.0,10.0,12.0,10.0,2.0,4.0,,,,,,6
P51161,2.0,4.0,,1.0,,,,,,,,3
O75015,3.0,,,2.0,3.0,,,,,,,3
P78352,3.0,5.0,3.0,,2.0,,,,,,,4
Q9BXX0,13.0,12.0,7.0,4.0,5.0,3.0,1.0,,,,,7
Q13519,6.0,6.0,4.0,3.0,1.0,4.0,2.0,,,,,7
P78344,1.0,,,,,,,,,,,1
Q13510,6.0,7.0,17.0,13.0,3.0,13.0,,2.0,3.0,4.0,,9
P51148,1.0,,,,,,,,,,,1
Q13508,17.0,21.0,11.0,20.0,19.0,12.0,3.0,8.0,6.0,,,9
P78332,1.0,,,,,,,,,,,1
Q13501,5.0,7.0,4.0,3.0,4.0,1.0,,,,,,6
Q9BY79,3.0,3.0,6.0,6.0,,,,,,,,4
Q9BY76,6.0,4.0,5.0,7.0,4.0,,,,,,,5
P78324,19.0,26.0,20.0,26.0,18.0,,10.0,,8.0,16.0,6.0,9
Q86SR1,19.0,16.0,16.0,22.0,9.0,10.0,,,,6.0,,7
Q9BY67,14.0,10.0,9.0,24.0,8.0,20.0,6.0,1.0,6.0,12.0,,10
P78310,13.0,13.0,5.0,8.0,8.0,1.0,,,,,,6
Q9BXT2,1.0,2.0,,,1.0,,,,,,,3
Q9BXS4,2.0,2.0,3.0,2.0,,,,,,,,4
Q9BY43,1.0,2.0,,,,,,,,,,2
Q9BXR6,10.0,9.0,11.0,6.0,5.0,,,,,,,5
P30508,13.0,,,,,,,,,,,1
Q02985,5.0,4.0,12.0,5.0,4.0,5.0,,,,,,6
O95502,38.0,44.0,27.0,40.0,27.0,66.0,15.0,8.0,8.0,28.0,3.0,11
Q6ZW31,1.0,,,,,,,,,,,1
P30520,1.0,,,,,,,,,,,1
O75095,3.0,6.0,8.0,5.0,1.0,1.0,,,,,,6
Q9BXP8,13.0,8.0,23.0,13.0,2.0,8.0,,,,,,6
Q9BY11,4.0,6.0,,1.0,1.0,1.0,,,,,,5
P14550,7.0,9.0,8.0,7.0,3.0,1.0,,,,,,6
Q86SK9,1.0,,,,1.0,,,,,,,2
P14543,41.0,43.0,42.0,42.0,28.0,37.0,5.0,12.0,7.0,14.0,,10
Q9BXN1,2.0,,7.0,1.0,,,,,,,,3
P09871,37.0,51.0,36.0,56.0,28.0,50.0,20.0,21.0,13.0,42.0,6.0,11
Q6ZVM7,3.0,2.0,2.0,,,,,,,,,3
Q6ZVL6,20.0,19.0,15.0,9.0,11.0,13.0,1.0,,2.0,,,8
P61366,1.0,,,,1.0,,,,,,,2
Q9BXK5,3.0,2.0,3.0,1.0,1.0,,,,,,,5
Q6PKG0,2.0,2.0,,,1.0,,,,,,,3
Q03252,3.0,9.0,,,2.0,1.0,,,,,,4
Q9BXJ4,2.0,3.0,5.0,6.0,3.0,4.0,1.0,2.0,,,2.0,9
Q9BXJ3,4.0,6.0,8.0,5.0,3.0,3.0,2.0,5.0,,,,8
Q9BXJ0,4.0,8.0,6.0,5.0,4.0,3.0,,3.0,,,,7
Q86SF2,17.0,26.0,28.0,25.0,14.0,14.0,4.0,1.0,6.0,6.0,,10
P61328,1.0,2.0,,,1.0,,,,,,,3
Q6KF10,3.0,,,,,,,,,,,1
Q9BXF6,1.0,,,,2.0,,,,,,,2
Q6ZVF9,1.0,,,,,,,,,,,1
P68036,2.0,4.0,7.0,2.0,3.0,3.0,,,,,,6
P62736,13.0,22.0,,13.0,12.0,21.0,,,,,,5
Q5T848,7.0,9.0,3.0,3.0,4.0,1.0,4.0,,,,,7
O43240,6.0,7.0,5.0,5.0,2.0,,,,,,,5
P05408,25.0,27.0,12.0,16.0,13.0,25.0,6.0,4.0,5.0,12.0,3.0,11
O15540,3.0,5.0,5.0,6.0,1.0,,,,,,,5
Q9NZV1,11.0,10.0,10.0,6.0,3.0,1.0,,,,,,6
Q9NZU1,3.0,8.0,9.0,8.0,1.0,4.0,,,,,,6
Q9NZU0,2.0,3.0,12.0,6.0,1.0,2.0,,,,,,6
P04278,12.0,14.0,12.0,15.0,11.0,11.0,1.0,7.0,4.0,4.0,,10
Q92187,2.0,,6.0,2.0,,1.0,,,,,,4
P04275,26.0,31.0,61.0,62.0,14.0,10.0,,6.0,2.0,4.0,,9
Q9NZT1,3.0,2.0,,2.0,,,2.0,,,,,4
P04264,31.0,44.0,37.0,51.0,25.0,15.0,4.0,,,22.0,12.0,9
Q13477,1.0,,,,,,,,,,,1
O15511,4.0,4.0,,1.0,3.0,,,,,,,4
P04259,17.0,19.0,,7.0,8.0,,,,,,,4
O15503,1.0,,,,,,,,,,,1
Q9NZR2,5.0,8.0,56.0,32.0,,12.0,,,,,,5
Q9NZR1,2.0,4.0,,,,,,,,,,2
Q13449,23.0,30.0,18.0,19.0,15.0,26.0,9.0,7.0,7.0,22.0,4.0,11
P04233,5.0,4.0,3.0,2.0,2.0,,,,,,,5
Q13444,7.0,5.0,7.0,4.0,1.0,1.0,,,,,,6
Q13443,8.0,11.0,10.0,11.0,5.0,4.0,3.0,,,,,7
