ct;ROW;iddisease;Disease;Marker;MarkerID;Score;starCount
2;77954;1307;dementia;MIM;O43312;2.532e-01;
3;260009;1307;dementia;MINT;Q96T58;6.488e-09;
1;214766;1307;dementia;mir106a;MI0000113;1.000e+00;
1;214768;1307;dementia;mir106b;MI0000734;1.000e+00;
1;112084;1307;dementia;mir107;MI0000114;1.000e+00;
1;386356;1307;dementia;mir125a;MI0000469;1.000e+00;
2;148864;1307;dementia;mir132;MI0000449;7.665e-01;
1;137007;1307;dementia;mir137;MI0000454;1.000e+00;
1;148865;1307;dementia;mir142;MI0000458;6.621e-01;
1;148866;1307;dementia;mir146a;MI0000477;2.354e-01;
2;137008;1307;dementia;mir155;MI0000681;1.167e-01;
3;106036;1307;dementia;mir193b;MI0003137;2.038e-01;
1;148862;1307;dementia;mir21;MI0000077;1.068e-03;
1;214767;1307;dementia;mir210;MI0000286;7.386e-01;
1;307905;1307;dementia;mir212;MI0000288;9.773e-01;
4;137006;1307;dementia;mir223;MI0000300;6.991e-01;
2;248914;1307;dementia;mir23a;MI0000079;1.000e+00;
2;248916;1307;dementia;mir26b;MI0000084;1.000e+00;
3;135113;1307;dementia;mir384;MI0001145;2.563e-02;
1;148868;1307;dementia;mir572;MI0003579;1.603e-01;
2;394972;1307;dementia;MLP;P50461;1.942e-01;
1;117117;1307;dementia;MLP1;Q5VZF2;9.433e-03;
1;117121;1307;dementia;MLP2;O15438;9.433e-03;
1;250936;1307;dementia;MLR;P08235;8.945e-01;
3;44136;1307;dementia;MMP2;P08253;7.303e-03;
1;426029;1307;dementia;MMP3;P08254;1.416e-01;
3;44133;1307;dementia;MMP9;P14780;3.629e-05;
1;104330;1307;dementia;MOCA;Q8IZD9;8.783e-02;
1;473460;1307;dementia;MOG;Q16653;8.040e-01;
1;169662;1307;dementia;MPO;P05164;2.800e-02;
455;3249;1307;dementia;MRI;Q9BWK5;0;
2;261543;1307;dementia;MSP;Q9BYE2;5.583e-01;
1;109261;1307;dementia;MSTN;O14793;2.343e-01;
2;170304;1307;dementia;MTHFR;P42898;1.692e-01;
2;251580;1307;dementia;MTOR;P42345;2.332e-01;
3;46922;1307;dementia;MTR;Q99707;6.888e-02;
2;115474;1307;dementia;MVD;P53602;2.381e-01;
4;451979;1307;dementia;NCAM;P13591;5.121e-01;
1;317384;1307;dementia;NCL;P19338;9.643e-01;
5;11105;1307;dementia;NEP;Q08345;1.598e-05;
1;514069;1307;dementia;NFAT1;Q13469;6.175e-01;
1;514071;1307;dementia;NFAT3;Q14934;1.234e-01;
1;513762;1307;dementia;NFH;P12036;4.912e-01;
53;102380;1307;dementia;NFL;P07196;4.354e-111;
4;169661;1307;dementia;NGAL;P80188;4.422e-02;
3;395590;1307;dementia;NGF;P01138;1.000e+00;
4;125008;1307;dementia;NHS;Q6T4R5;2.809e-01;
1;440528;1307;dementia;NINL;Q9Y2I6;9.433e-03;
1;399129;1307;dementia;NKA;P20366;9.643e-01;
1;209788;1307;dementia;NLGN1;Q8N2Q7;8.783e-02;
1;321692;1307;dementia;NLP;Q9Y2I6;7.978e-01;
1;133431;1307;dementia;NLRP3;Q96P20;2.687e-01;
2;73500;1307;dementia;NMDAR1;Q05586;5.526e-02;
2;165616;1307;dementia;NMS;Q5H8A3;5.824e-03;
4;109574;1307;dementia;NOTCH3;Q9UM47;3.766e-02;
1;497618;1307;dementia;NOTCH4;Q99466;4.338e-01;
2;218897;1307;dementia;NPC1;O15118;9.032e-02;
53;24146;1307;dementia;NPS;P0C0P6;9.575e-313;
3;113146;1307;dementia;NPTX2;P47972;7.587e-02;
2;106702;1307;dementia;NPTXR;O95502;4.976e-10;
1;41247;1307;dementia;NR1H2;P55055;2.812e-02;
2;154973;1307;dementia;NRGN;Q92686;1.750e-08;
3;126875;1307;dementia;OASIS;Q96BA8;5.058e-12;
11;103304;1307;dementia;OCT;O75051;3.206e-01;
1;55043;1307;dementia;OGG1;O15527;1.000e+00;
4;60223;1307;dementia;OPG;O00300;3.827e-02;
1;34108;1307;dementia;OST;O15068;5.940e-01;
1;212725;1307;dementia;OXT;P01178;5.445e-01;
6;44746;1307;dementia;P300;Q09472;2.781e-02;
2;313833;1307;dementia;PAC1;O95456;1.391e-01;
6;313733;1307;dementia;PACAP;Q8WU39;2.632e-09;
3;323056;1307;dementia;PACE;P09958;1.585e-09;
3;178020;1307;dementia;PAF;Q15004;7.539e-01;
5;104430;1307;dementia;PAI1;P05121;8.658e-02;
1;97862;1307;dementia;PAL;Q9P2V4;8.638e-01;
2;109265;1307;dementia;PAPPA;Q13219;2.902e-01;
1;281287;1307;dementia;PARK2;O60260;8.480e-01;
4;150027;1307;dementia;PBK;Q96KB5;8.750e-06;
1;153115;1307;dementia;PC1;P22413;1.000e+00;
4;312757;1307;dementia;PCSK9;Q8NBP7;7.928e-01;
3;169382;1307;dementia;PDC;P20941;1.672e-02;
1;430429;1307;dementia;PDE10A;Q9Y233;1.975e-01;
1;430430;1307;dementia;PDE5;O76074;1.000e+00;
4;150184;1307;dementia;PDF;Q99988;1.389e-04;
4;1563;1307;dementia;PEDF;P36955;1.000e+00;
3;99912;1307;dementia;PEP;P48147;1.238e-02;
3;467702;1307;dementia;PGDS;O60760;1.876e-04;
1;55824;1307;dementia;PHF1;O43189;2.343e-01;
1;109263;1307;dementia;PI3;P19957;1.000e+00;
8;102580;1307;dementia;PICALM;Q13492;2.684e-35;
1;373371;1307;dementia;PIN1;Q13526;8.638e-01;
1;482058;1307;dementia;PINK1;Q9BXM7;7.978e-01;
2;436349;1307;dementia;PLA2;P04054;1.000e+00;
1;340398;1307;dementia;PLD1;Q13393;5.184e-01;
1;241298;1307;dementia;PLI;P08697;4.035e-01;
2;453553;1307;dementia;PLM;O00168;9.755e-03;
4;158582;12217;Lewy body dementia;PLP;Q96GD0;1.065e-50;
1;488913;1307;dementia;PML;P29590;2.548e-01;
1;386770;1307;dementia;PND;P01160;8.638e-01;
1;205030;1307;dementia;POEM;Q6UXI9;4.912e-01;
3;111010;1307;dementia;PON;P27169;4.129e-01;
3;111008;1307;dementia;PON1;P27169;5.329e-01;
2;104429;1307;dementia;POR;P16435;3.943e-02;
6;111720;1307;dementia;PPD;P32754;9.726e-01;
1;18984;1307;dementia;PPL;O60437;9.233e-01;
1;436702;1307;dementia;PPT;P50897;8.792e-01;
2;318984;1307;dementia;PRD;P12955;1.541e-06;
2;511887;1307;dementia;PRL;P40424;1.431e-01;
8;14583;1307;dementia;PRNP;P04156;4.144e-07;
5;106027;1307;dementia;PS1;P49768;9.671e-12;
2;513770;1307;dementia;PS2;P49810;1.391e-01;
17;62265;1307;dementia;PSD;A5PKW4;2.066e-56;
4;138448;1307;dementia;PSD95;P78352;9.170e-07;
24;21819;1307;dementia;PSEN1;P49768;3.535e-131;
8;156263;12217;Lewy body dementia;PSEN2;P49810;8.734e-94;
6;175153;1307;dementia;PSPS;P05451;4.186e-07;
1;380319;1307;dementia;PTEN;P60484;8.402e-05;
6;74045;1307;dementia;PTH;P01270;1.221e-01;
2;315219;1307;dementia;PTX3;P26022;3.190e-03;
10;72924;1307;dementia;PUFA;Q15397;1.658e-01;
1;245438;1307;dementia;PURA;Q00577;2.812e-02;
1;354687;1307;dementia;PVRL2;Q92692;8.783e-02;
6;134211;1307;dementia;PWD;P35670;7.577e-18;
2;306789;1307;dementia;PXR;O75469;9.032e-02;
6;19472;1307;dementia;RAGE;Q15109;1.864e-01;
1;109534;1307;dementia;RANKL;O14788;8.285e-02;
3;116745;1307;dementia;RBP4;P02753;1.000e+00;
2;182777;1307;dementia;RCAN1;P53805;4.327e-03;
1;99107;1307;dementia;RDS;P23942;8.150e-01;
1;106129;1307;dementia;REL;Q04864;4.338e-01;
1;162649;1307;dementia;RELN;P78509;7.039e-01;
25;40908;1307;dementia;REM;O75628;5.481e-27;
3;125132;1307;dementia;REST;Q13127;4.032e-02;
2;407637;1307;dementia;RIN3;Q8TB24;8.783e-02;
1;223884;1307;dementia;RIS;Q9NYN1;1.000e+00;
3;213092;1307;dementia;ROS;P08922;1.515e-03;
4;102280;1307;dementia;RRR;Q15050;4.690e-08;
1;201920;1307;dementia;RSN;P30622;1.975e-01;
1;86552;1307;dementia;RUFY3;Q7L099;4.912e-01;
2;383690;1307;dementia;RXFP1;Q9HBX9;1.432e-04;
2;383691;1307;dementia;RXFP3;Q9NSD7;1.750e-08;
1;340254;1307;dementia;S100A7;P31151;1.000e+00;
1;179639;1307;dementia;S100A9;P06702;5.175e-01;
7;1264;1307;dementia;S100B;P04271;1.000e+00;
2;379345;1307;dementia;SACS;Q9NZJ4;2.343e-01;
1;349625;1307;dementia;SAGE;Q9NXZ1;1.000e+00;
3;72003;1307;dementia;SAP;O60880;1.741e-01;
8;49527;1307;dementia;SBP;Q13228;7.356e-01;
2;48818;1307;dementia;SCA2;Q16553;9.459e-01;
2;111538;1307;dementia;SCA3;P54252;4.631e-01;
145;26941;1307;dementia;SCD;O00767;1.985e-235;
1;291496;1307;dementia;SCH;P35240;8.818e-01;
2;272194;1307;dementia;SCT;P09683;1.000e+00;
1;121081;1307;dementia;SDC;P18827;6.154e-01;
2;76713;1307;dementia;SDS;P20132;5.004e-01;
2;132475;1307;dementia;SEK;P54764;1.750e-08;
1;312163;1307;dementia;SEP;O43157;9.509e-01;
1;146181;1307;dementia;SERS;P49591;1.000e+00;
1;140856;1307;dementia;SERT;P31645;6.402e-01;
2;154502;1307;dementia;SFN;P31947;5.654e-01;
4;101319;1307;dementia;SHBG;P04278;1.000e+00;
1;464309;1307;dementia;SHF;Q7M4L6;7.039e-01;
