Protein IDs;Gene name;Protein name;Unique peptides K1.1;Unique peptides K1.2;Unique peptides K1.3;Unique peptides K2.1;Unique peptides K2.2;Unique peptides K2.3;Unique peptides K5.1;Unique peptides K5.2;Unique peptides K5.3;Unique peptides K8.1;Unique peptides K8.2;Unique peptides K8.3;Unique peptides K13.1;Unique peptides K13.2;Unique peptides K13.3;Unique peptides K14.1;Unique peptides K14.2;Unique peptides K14.3;Unique peptides K26.1;Unique peptides K26.2;Unique peptides K26.3;Unique peptides K33.1;Unique peptides K33.2;Unique peptides K33.3;Unique peptides K36.1;Unique peptides K36.2;Unique peptides K36.3;Unique peptides K38.1;Unique peptides K38.2;Unique peptides K38.3;Unique peptides K39.1;Unique peptides K39.2;Unique peptides K39.3;Unique peptides K40.1;Unique peptides K40.2;Unique peptides K40.3;LFQ intensity K1.1;LFQ intensity K1.2;LFQ intensity K1.3;LFQ intensity K2.1;LFQ intensity K2.2;LFQ intensity K2.3;LFQ intensity K5.1;LFQ intensity K5.2;LFQ intensity K5.3;LFQ intensity K8.1;LFQ intensity K8.2;LFQ intensity K8.3;LFQ intensity K13.1;LFQ intensity K13.2;LFQ intensity K13.3;LFQ intensity K14.1;LFQ intensity K14.2;LFQ intensity K14.3;LFQ intensity K26.1;LFQ intensity K26.2;LFQ intensity K26.3;LFQ intensity K33.1;LFQ intensity K33.2;LFQ intensity K33.3;LFQ intensity K36.1;LFQ intensity K36.2;LFQ intensity K36.3;LFQ intensity K38.1;LFQ intensity K38.2;LFQ intensity K38.3;LFQ intensity K39.1;LFQ intensity K39.2;LFQ intensity K39.3;LFQ intensity K40.1;LFQ intensity K40.2;LFQ intensity 40.3
O00462;MANBA;Beta-mannosidase;0;0;0;2;3;0;0;0;0;2;1;1;1;2;0;0;1;0;2;3;4;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3384100;0;0;0;0;0;0;0;0;0;0;5235400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O00468;AGRN;Agrin;4;5;1;4;6;4;5;1;3;8;7;5;7;4;5;2;1;1;4;5;4;4;3;3;3;4;3;5;4;6;2;3;3;4;1;4;12633000;12639000;0;14066000;12065000;9702800;8852300;0;10476000;19354000;17883000;17843000;16846000;21763000;17386000;8965200;0;0;13767000;16216000;13408000;10800000;8760000;9185100;11090000;14904000;11093000;14006000;16227000;15097000;12653000;10644000;9171900;10561000;0;14908000
O00533;CHL1;Neural cell adhesion molecule L1-like protein;22;26;24;26;28;28;23;21;20;27;25;22;26;27;26;20;19;22;28;27;26;22;26;23;20;22;22;24;24;21;19;23;21;20;19;22;513130000;486570000;443080000;714710000;595020000;609880000;443950000;439020000;382080000;706780000;651020000;716140000;658520000;630060000;554810000;295750000;293700000;282400000;670010000;639410000;654690000;439560000;378170000;449710000;316640000;394950000;333530000;443840000;466560000;413150000;392420000;380950000;347390000;260470000;235020000;395040000
O00584;RNASET2;Ribonuclease T2;6;7;4;6;8;6;8;3;6;6;7;6;7;5;7;5;5;7;7;8;6;4;4;3;5;7;5;8;7;8;3;3;4;6;5;7;15782000;15876000;15226000;22363000;18670000;16548000;12406000;15951000;13939000;19362000;21477000;28993000;13816000;15465000;16587000;14947000;14410000;15581000;19762000;25414000;22561000;12333000;10813000;9435900;18208000;19045000;14350000;15472000;20458000;20097000;18646000;13291000;10929000;15661000;14782000;19050000
O14498;ISLR;Immunoglobulin superfamily containing leucine-rich repeat protein;3;5;6;4;4;4;5;5;5;6;4;6;6;5;4;1;2;2;5;5;5;3;3;3;2;4;4;6;2;3;3;2;4;2;0;4;17344000;18019000;16087000;19282000;18362000;14253000;16866000;18582000;20485000;18472000;15751000;17191000;15194000;17852000;17446000;0;12048000;14166000;15514000;14346000;19487000;21393000;15114000;18037000;14470000;17262000;14593000;21485000;24311000;19059000;14365000;16477000;16036000;14152000;0;17266000
O14514;ADGRB1;Brain-specific angiogenesis inhibitor 1;1;1;0;3;2;2;1;1;1;3;1;2;1;1;1;1;1;0;1;1;2;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;3914900;2697200;2277400;0;0;0;3493000;0;2892600;0;0;0;0;0;0;0;0;2363300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O14594;NCAN;Neurocan core protein;15;13;10;15;15;15;12;12;11;16;16;14;15;14;12;13;14;11;15;14;15;13;12;12;10;11;11;15;13;15;9;12;11;10;9;11;65956000;61285000;62996000;102350000;82284000;78495000;60906000;70720000;60423000;145730000;117510000;125820000;79229000;91356000;75957000;50267000;48407000;45812000;84284000;87558000;87362000;62964000;51708000;64764000;47605000;56396000;55478000;66440000;81821000;61927000;51945000;53962000;44613000;48419000;38562000;56409000
O14672;ADAM10;Disintegrin and metalloproteinase domain-containing protein 10;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3045100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O14773;TPP1;Tripeptidyl-peptidase 1;0;1;0;3;1;1;1;1;1;1;3;1;1;1;1;0;2;2;4;5;2;1;1;1;2;2;1;2;1;1;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;8554200;0;0;0;0;0;0;0;14107000;13499000;14831000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O14786;NRP1;Neuropilin-1;0;1;0;0;0;0;1;0;1;2;1;0;2;1;1;1;1;1;1;2;1;0;1;0;1;1;0;2;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1367200;0;0;0;0;0;0;0;1101400;0;0;0;0;0;0;0;0
O14791;APOL1;Apolipoprotein L1;1;2;2;2;1;1;1;0;1;1;1;0;1;1;1;1;1;2;2;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;1;1;0;4557500;4671900;3627200;0;0;0;0;0;0;0;0;0;0;0;0;0;3916000;2648800;0;0;0;3429200;4621500;0;0;0;2313500;0;0;0;0;0;0;0;0
O14793;MSTN;Growth/differentiation factor 8;0;0;0;1;0;0;0;0;0;1;0;0;3;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2190700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O14917;PCDH17;Protocadherin-17;1;3;1;2;3;1;2;0;0;5;5;3;4;3;3;2;1;0;3;3;3;1;0;0;1;2;1;2;3;2;1;0;0;1;0;2;0;2831400;0;5096000;3592300;0;2729700;0;0;4694100;4770000;5742800;2922500;3173000;2816700;2801300;0;0;3321900;3977600;2924200;0;0;0;0;3124400;0;2523000;3704900;2861500;0;0;0;0;0;3125100
O15031;PLXNB2;Plexin-B2;4;5;3;10;12;10;7;6;9;12;11;11;10;9;5;6;6;5;8;7;6;7;8;8;6;6;6;13;7;9;4;4;5;7;6;6;13960000;13156000;9920800;21694000;20952000;14676000;15143000;19855000;15051000;18758000;20806000;19709000;16951000;14388000;14804000;14913000;13398000;12567000;12668000;12529000;14419000;16722000;13408000;14877000;12644000;12513000;14888000;16957000;16689000;16133000;14080000;11854000;13115000;13765000;11215000;12516000
O15197;EPHB6;Ephrin type-B receptor 6;1;1;0;1;1;1;1;0;1;2;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6100400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O15240;VGF;Neurosecretory protein VGF;10;11;11;12;13;13;11;8;11;16;12;13;16;12;12;9;10;11;12;12;12;11;12;9;11;11;8;13;8;12;10;11;11;8;8;11;239130000;307300000;262340000;424850000;416060000;343030000;231430000;267980000;227070000;511810000;486010000;433320000;502880000;454920000;382290000;157430000;154860000;153660000;369200000;284150000;436830000;249420000;242790000;237340000;182700000;211250000;282890000;318590000;222960000;247570000;194010000;176590000;210100000;110150000;117230000;211300000
O15354;GPR37;Prosaposin receptor GPR37;3;2;3;3;3;2;3;1;2;2;2;2;3;2;2;2;2;2;3;3;3;3;3;3;2;2;3;3;2;3;3;3;3;3;2;2;6971300;12261000;7565000;9638700;9336900;9033200;9098300;0;7539900;11025000;9461700;8688700;9959300;8979600;9264300;6526100;8556300;7897100;12023000;7095300;9439400;6597600;5078200;7206000;7708800;8639400;7406100;6980100;4858700;4965800;6021500;8739900;10050000;5780100;5466800;8641400
