No.	UniProtKB ID	Entry Name	Organism	Gene Name
292	Q8VI56	LRP4_MOUSE	Mus musculus (Mouse)	Lrp4
293	P0C192	LRC4B_MOUSE	Mus musculus (Mouse)	Lrrc4b
294	Q62813	LSAMP_RAT	Rattus norvegicus (Rat)	Lsamp
295	P20916	MAG_HUMAN	Homo sapiens (Human)	MAG
296	P02686	MBP_HUMAN	Homo sapiens (Human)	MBP
297	P43121	MUC18_HUMAN	Homo sapiens (Human)	MCAM
298	Q16819	MEP1A_HUMAN	Homo sapiens (Human)	MEP1A
299	Q16820	MEP1B_HUMAN	Homo sapiens (Human)	MEP1B
300	Q12866	MERTK_HUMAN	Homo sapiens (Human)	MERTK
301	P08581	MET_HUMAN	Homo sapiens (Human)	MET
302	Q29983	MICA_HUMAN	Homo sapiens (Human)	MICA
303	Q29980	MICB_HUMAN	Homo sapiens (Human)	MICB
304	P08473	NEP_HUMAN	Homo sapiens (Human)	MME
305	P50281	MMP14_HUMAN	Homo sapiens (Human)	MMP14
306	P51512	MMP16_HUMAN	Homo sapiens (Human)	MMP16
307	P08253	MMP2_HUMAN	Homo sapiens (Human)	MMP2
308	Q9NRE1	MMP26_HUMAN	Homo sapiens (Human)	MMP26
309	P22897	MRC1_HUMAN	Homo sapiens (Human)	MRC1
310	Q13421	MSLN_HUMAN	Homo sapiens (Human)	MSLN
311	P15941	MUC1_HUMAN	Homo sapiens (Human)	MUC1
312	Q8WXI7	MUC16_HUMAN	Homo sapiens (Human)	MUC16
313	P02688	MBP_RAT	Rattus norvegicus (Rat)	Mbp
314	P28825	MEP1A_MOUSE	Mus musculus (Mouse)	Mep1a
315	Q61830	MRC1_MOUSE	Mus musculus (Mouse)	Mrc1
316	P13591	NCAM1_HUMAN	Homo sapiens (Human)	NCAM1
317	Q68D85	NR3L1_HUMAN	Homo sapiens (Human)	NCR3LG1
318	Q15223	NECT1_HUMAN	Homo sapiens (Human)	NECTIN1
319	Q96NY8	NECT4_HUMAN	Homo sapiens (Human)	NECTIN4
320	P08138	TNR16_HUMAN	Homo sapiens (Human)	NGFR
321	P46531	NOTC1_HUMAN	Homo sapiens (Human)	NOTCH1
322	Q04721	NOTC2_HUMAN	Homo sapiens (Human)	NOTCH2
323	Q9UM47	NOTC3_HUMAN	Homo sapiens (Human)	NOTCH3
324	O60500	NPHN_HUMAN	Homo sapiens (Human)	NPHS1
325	P16066	ANPRA_HUMAN	Homo sapiens (Human)	NPR1
326	Q92823	NRCAM_HUMAN	Homo sapiens (Human)	NRCAM
327	Q02297	NRG1_HUMAN	Homo sapiens (Human)	NRG1
328	O14511	NRG2_HUMAN	Homo sapiens (Human)	NRG2
329	O60462	NRP2_HUMAN	Homo sapiens (Human)	NRP2
330	Q9HDB5	NRX3B_HUMAN	Homo sapiens (Human)	NRXN3
331	P21589	5NTD_HUMAN	Homo sapiens (Human)	NT5E
332	P04629	NTRK1_HUMAN	Homo sapiens (Human)	NTRK1
333	Q9Z0J8	NEGR1_RAT	Rattus norvegicus (Rat)	Negr1
334	P97798	NEO1_MOUSE	Mus musculus (Mouse)	Neo1
335	P97685	NFASC_RAT	Rattus norvegicus (Rat)	Nfasc
336	P07174	TNR16_RAT	Rattus norvegicus (Rat)	Ngfr
337	O70131	NINJ1_MOUSE	Mus musculus (Mouse)	Ninj1
338	Q9VIC6	Q9VIC6_DROME	Drosophila melanogaster (Fruit fly)	Nlg3
339	Q99K10	NLGN1_MOUSE	Mus musculus (Mouse)	Nlgn1
340	Q8BYM5	NLGN3_MOUSE	Mus musculus (Mouse)	Nlgn3
341	Q01705	NOTC1_MOUSE	Mus musculus (Mouse)	Notch1
342	O35516	NOTC2_MOUSE	Mus musculus (Mouse)	Notch2
343	Q99J85	NPTXR_MOUSE	Mus musculus (Mouse)	Nptxr
344	Q6DR99	Q6DR99_MOUSE	Mus musculus (Mouse)	Nrg1
345	P97333	NRP1_MOUSE	Mus musculus (Mouse)	Nrp1
346	Q62718	NTRI_RAT	Rattus norvegicus (Rat)	Ntm
347	P15209	NTRK2_MOUSE	Mus musculus (Mouse)	Ntrk2
348	Q6VNS1	NTRK3_MOUSE	Mus musculus (Mouse)	Ntrk3
349	Q16625	OCLN_HUMAN	Homo sapiens (Human)	OCLN
350	P78380	OLR1_HUMAN	Homo sapiens (Human)	OLR1
351	P23515	OMGP_HUMAN	Homo sapiens (Human)	OMG
352	P32736	OPCM_RAT	Rattus norvegicus (Rat)	Opcml
353	Q99497	PARK7_HUMAN	Homo sapiens (Human)	PARK7
354	Q9NPG4	PCD12_HUMAN	Homo sapiens (Human)	PCDH12
355	Q9UN71	PCDGG_HUMAN	Homo sapiens (Human)	PCDHGB4
356	Q9UN70	PCDGK_HUMAN	Homo sapiens (Human)	PCDHGC3
357	P09619	PGFRB_HUMAN	Homo sapiens (Human)	PDGFRB
358	P16284	PECA1_HUMAN	Homo sapiens (Human)	PECAM1
359	P01833	PIGR_HUMAN	Homo sapiens (Human)	PIGR
360	P98161	PKD1_HUMAN	Homo sapiens (Human)	PKD1
361	P08F94	PKHD1_HUMAN	Homo sapiens (Human)	PKHD1
362	Q13018	PLA2R_HUMAN	Homo sapiens (Human)	PLA2R1
363	Q03405	UPAR_HUMAN	Homo sapiens (Human)	PLAUR
364	O43157	PLXB1_HUMAN	Homo sapiens (Human)	PLXNB1
365	O15031	PLXB2_HUMAN	Homo sapiens (Human)	PLXNB2
366	P40967	PMEL_HUMAN	Homo sapiens (Human)	PMEL
367	P04156	PRIO_HUMAN	Homo sapiens (Human)	PRNP
368	Q9UNN8	EPCR_HUMAN	Homo sapiens (Human)	PROCR
369	Q03431	PTH1R_HUMAN	Homo sapiens (Human)	PTH1R
370	Q13308	PTK7_HUMAN	Homo sapiens (Human)	PTK7
371	P10586	PTPRF_HUMAN	Homo sapiens (Human)	PTPRF
372	P23470	PTPRG_HUMAN	Homo sapiens (Human)	PTPRG
373	Q15262	PTPRK_HUMAN	Homo sapiens (Human)	PTPRK
374	P28827	PTPRM_HUMAN	Homo sapiens (Human)	PTPRM
375	P05622	PGFRB_MOUSE	Mus musculus (Mouse)	Pdgfrb
376	Q6P1B3	PIANP_MOUSE	Mus musculus (Mouse)	Pianp
377	P35456	UPAR_MOUSE	Mus musculus (Mouse)	Plaur
378	P18052	PTPRA_MOUSE	Mus musculus (Mouse)	Ptpra
379	P35822	PTPRK_MOUSE	Mus musculus (Mouse)	Ptprk
380	Q62132	PTPRR_MOUSE	Mus musculus (Mouse)	Ptprr
381	Q64605	PTPRS_RAT	Rattus norvegicus (Rat)	Ptprs
382	B9EKR1	PTPRZ_MOUSE	Mus musculus (Mouse)	Ptprz1
383	O95980	RECK_HUMAN	Homo sapiens (Human)	RECK
384	Q9Y6N7	ROBO1_HUMAN	Homo sapiens (Human)	ROBO1
385	P08865	RSSA_HUMAN	Homo sapiens (Human)	RPSA
386	Q9BZR6	RTN4R_HUMAN	Homo sapiens (Human)	RTN4R
387	Q99M75	RTN4R_RAT	Rattus norvegicus (Rat)	Rtn4r
388	Q01887	RYK_MOUSE	Mus musculus (Mouse)	Ryk
389	P18827	SDC1_HUMAN	Homo sapiens (Human)	SDC1
390	O75056	SDC3_HUMAN	Homo sapiens (Human)	SDC3
391	P31431	SDC4_HUMAN	Homo sapiens (Human)	SDC4
392	P16581	LYAM2_HUMAN	Homo sapiens (Human)	SELE
393	P14151	LYAM1_HUMAN	Homo sapiens (Human)	SELL
394	Q14242	SELPL_HUMAN	Homo sapiens (Human)	SELPLG
395	Q9C0C4	SEM4C_HUMAN	Homo sapiens (Human)	SEMA4C
396	Q92854	SEM4D_HUMAN	Homo sapiens (Human)	SEMA4D
397	F1NSD7	F1NSD7_CHICK	Gallus gallus (Chicken)	SEMA5B
398	O75326	SEM7A_HUMAN	Homo sapiens (Human)	SEMA7A
399	Q15465	SHH_HUMAN	Homo sapiens (Human)	SHH
400	P37840	SYUA_HUMAN	Homo sapiens (Human)	SNCA
401	Q8WY21	SORC1_HUMAN	Homo sapiens (Human)	SORCS1
402	Q96PQ0	SORC2_HUMAN	Homo sapiens (Human)	SORCS2
403	Q9UPU3	SORC3_HUMAN	Homo sapiens (Human)	SORCS3
404	Q92673	SORL_HUMAN	Homo sapiens (Human)	SORL1
