From	Entry
ENSP00000347836	P62256
ENSP00000413606	Q15833
ENSP00000361642	Q9HAB8
ENSP00000235329	O95140
ENSP00000261183	Q9BZF1
ENSP00000256578	A0A5F9UK94
ENSP00000216225	P62877
ENSP00000418401	Q9Y5M8
ENSP00000370395	Q96EQ0
ENSP00000286621	A0A5K1VW54
ENSP00000319501	O60701
ENSP00000387307	Q9H0N0
ENSP00000228284	A0A499FI31
ENSP00000299106	Q9BX67
ENSP00000399511	Q9UKE5
ENSP00000264156	Q14566
ENSP00000294724	P35573
ENSP00000370593	P23468
ENSP00000301180	Q9P265
ENSP00000398722	Q9BWS9
ENSP00000476140	Q9BRT2
ENSP00000338788	Q8WU90
ENSP00000303580	Q9NYR9
ENSP00000373627	Q6ZU15
ENSP00000418563	O15042
ENSP00000293217	Q15067
ENSP00000310375	Q15049
ENSP00000216044	O00178
ENSP00000167588	P35900
ENSP00000266126	P49770
ENSP00000257181	Q8NAV1
ENSP00000473185	P63302
ENSP00000263826	Q9Y243
ENSP00000291552	Q01081
ENSP00000419087	O95178
ENSP00000445920	Q96EY8
ENSP00000414624	Q14558
ENSP00000402346	Q9UBF2
ENSP00000379217	O14562
ENSP00000376899	Q9P2B2
ENSP00000349970	Q9Y282
ENSP00000270502	Q9BSF4
ENSP00000281182	Q9UKU7
ENSP00000376793	P01011
ENSP00000450540	P01011
ENSP00000263246	Q9UNF0
ENSP00000349923	Q14657
ENSP00000220003	P41240
ENSP00000363939	Q96LZ3
ENSP00000388909	Q9BQA9
ENSP00000251775	O95219
ENSP00000308541	P00734
ENSP00000349508	A0A2U3TZM0
ENSP00000259953	Q8IXM6
ENSP00000262461	P55011
ENSP00000361803	Q8WU79
ENSP00000442464	A0A0A0MTJ9
ENSP00000313851	Q9NTI5
ENSP00000415786	P07093
ENSP00000389168	O14974
ENSP00000280987	Q8N128
ENSP00000444856	A0A0A0MTN0
ENSP00000258080	O43464
ENSP00000220509	Q9P253
ENSP00000271620	Q86TP1
ENSP00000437041	Q6BCY4
ENSP00000365725	Q8N2K0
ENSP00000420127	P51151
ENSP00000480828	P37268
ENSP00000336866	O75884
ENSP00000369739	Q86WA6
ENSP00000476117	Q9BV38
ENSP00000263160	Q9P2U8
ENSP00000445077	Q2VIR3
ENSP00000291458	Q4VC31
ENSP00000382239	Q8IXT5
ENSP00000378733	Q53QV2
ENSP00000382341	Q92696
ENSP00000337443	Q6DKJ4
ENSP00000477141	Q9P0K9
ENSP00000398131	P15170
ENSP00000352408	Q9NWV8
ENSP00000401435	Q5VIR6
ENSP00000348565	Q9GZZ9
ENSP00000255194	O00203
ENSP00000420213	O75369
ENSP00000262768	P16035
ENSP00000294952	Q6ZMI0
ENSP00000243298	Q9NP90
ENSP00000383295	Q8NFP9
ENSP00000256460	Q14012
ENSP00000326804	Q13616
ENSP00000369822	P16083
ENSP00000300006	Q96MC5
ENSP00000074304	Q96PE3
ENSP00000301396	C9JFV4
ENSP00000417335	Q9HCK4
ENSP00000315702	Q9Y3A3
ENSP00000274606	Q9NX24
ENSP00000410470	Q6P2I3
ENSP00000307634	Q9UPQ3
ENSP00000298299	P17026
ENSP00000332604	Q99613
ENSP00000386543	Q4J6C6
ENSP00000418348	Q7Z7K0
ENSP00000378917	Q8WWM7
ENSP00000366488	P22612
ENSP00000384763	P32418
ENSP00000281924	Q8TC26
ENSP00000218224	O60828
ENSP00000295770	Q8TCJ2
ENSP00000227638	Q96RD7
ENSP00000355672	Q5T440
ENSP00000347626	Q8IVD9
ENSP00000418438	O95167
ENSP00000371614	Q8IWQ3
ENSP00000450244	O95294
ENSP00000278823	O94776
ENSP00000357712	P31151
ENSP00000245552	Q8TCD5
ENSP00000483424	A0A087X0I6
ENSP00000471502	Q9NT99
ENSP00000338964	Q9UJ14
ENSP00000380878	P48454
ENSP00000444201	O43581
ENSP00000319788	P15559
ENSP00000342538	Q9H169
ENSP00000356370	P82279
ENSP00000288266	Q9UKG1
ENSP00000480987	P25205
ENSP00000329715	Q9Y295
ENSP00000423366	Q6ZU35
ENSP00000326261	Q8IYB3
ENSP00000253047	Q9NX00
ENSP00000369810	Q9H269
ENSP00000264254	Q9H2J4
ENSP00000373808	Q9Y6X4
ENSP00000308496	Q8N8L6
ENSP00000336994	O96005
ENSP00000382021	Q9UIC8
ENSP00000418994	Q8TBG9
ENSP00000470087	M0QYV0
ENSP00000003100	Q16850
ENSP00000339479	P49902
ENSP00000270310	P58549
ENSP00000261716	Q7L7X3
ENSP00000436318	O14618
ENSP00000232496	O75896
ENSP00000233146	P43246
ENSP00000323967	Q969G3
ENSP00000376250	Q8IVM0
ENSP00000266079	O94906
ENSP00000365437	Q05329
ENSP00000325312	P50579
ENSP00000380781	Q14938
ENSP00000371554	P08294
ENSP00000436455	P80303
ENSP00000368682	P78562
ENSP00000313601	Q6P1N0
ENSP00000384109	A0A804CL36
ENSP00000357040	Q9ULK5
ENSP00000349687	P17900
ENSP00000264036	P43121
ENSP00000380322	Q9BV81
ENSP00000454038	H0YNJ6
ENSP00000378965	Q13884
ENSP00000426638	Q16134
ENSP00000279387	P60510
ENSP00000359864	O75487
ENSP00000385751	Q7KZI7
ENSP00000327821	O43592
ENSP00000475924	Q9Y2S7
ENSP00000364289	Q09161
ENSP00000350833	Q15777
ENSP00000354772	Q9H7P6
ENSP00000320663	Q9HC35
ENSP00000367743	P41732
ENSP00000382508	Q9H305
ENSP00000311224	Q86TX2
ENSP00000373860	A6ND91
ENSP00000440222	A0A0A6YYJ8
ENSP00000264059	Q9BUP0
ENSP00000484732	A6NHX0
ENSP00000243253	P61619
ENSP00000398632	P16070
ENSP00000262105	P33991
ENSP00000357459	P55265
ENSP00000367323	Q13303
ENSP00000336127	Q86TV6
ENSP00000245046	Q9P0I2
ENSP00000300738	P23921
ENSP00000367263	Q09666
ENSP00000356811	Q9Y450
ENSP00000282412	O75688
ENSP00000381282	Q9BQE4
ENSP00000341344	Q9UJY5
ENSP00000308717	Q96GC5
ENSP00000380044	P49674
ENSP00000333633	Q13330
ENSP00000220597	Q9NWQ8
ENSP00000349486	Q14160
ENSP00000346809	Q75T13
ENSP00000303057	P45877
ENSP00000310668	Q8N1F7
ENSP00000363714	Q9H330
ENSP00000296597	Q8N183
ENSP00000357644	Q8WXI9
ENSP00000280155	P08913
ENSP00000396688	P0C0L4
ENSP00000306138	P41594
ENSP00000324463	P49750
ENSP00000398350	Q9H3H3
ENSP00000232461	P11488
ENSP00000422375	Q96DE0
ENSP00000410758	Q9Y4Y9
ENSP00000305918	Q15059
ENSP00000392828	A0A0A0MSK4
ENSP00000412324	Q13362
ENSP00000415941	P0C0L5
ENSP00000306548	Q9BYD1
ENSP00000468348	P52564
ENSP00000379762	Q9UBP4
ENSP00000354554	P00156
ENSP00000471735	W4VSR2
ENSP00000218340	O75695
ENSP00000360569	P22307
ENSP00000337722	Q9H0F7
ENSP00000370258	B5ME19
ENSP00000363419	Q9H019
ENSP00000330389	Q6GMV3
ENSP00000302768	Q9H074
ENSP00000400870	Q9BTE6
ENSP00000464050	Q86XP3
ENSP00000249269	O75439
ENSP00000363638	O95372
ENSP00000450085	H0YIS7
ENSP00000354499	P00395
ENSP00000325690	Q86X55
ENSP00000376390	Q96AX2
ENSP00000229328	Q9Y478
ENSP00000349016	O75381
ENSP00000318351	P21953
ENSP00000370194	O60547
ENSP00000251413	P23258
ENSP00000299608	Q96JJ7
ENSP00000347408	Q9Y2T2
ENSP00000384867	Q9P0P8
ENSP00000448598	Q8IXM2
ENSP00000339820	Q96SJ8
ENSP00000355777	Q9H3P7
ENSP00000357384	Q9P2X0
ENSP00000301050	P54284
ENSP00000479322	P30622
ENSP00000264705	P27708
ENSP00000417763	P41227
ENSP00000360644	O60762
ENSP00000336721	Q6PKG0
ENSP00000345359	Q9NZ53
ENSP00000380824	Q9P0V9
ENSP00000319141	Q53TN4
ENSP00000330199	Q9H1V8
ENSP00000376077	P63165
ENSP00000478303	P19388
ENSP00000417229	Q9BY44
ENSP00000280097	P50135
ENSP00000424870	P09132
ENSP00000362314	Q13542
ENSP00000451828	P31749
ENSP00000251337	P19087
ENSP00000263383	A1L0T0
ENSP00000337998	Q9HCH0
ENSP00000356953	Q99643
ENSP00000265562	Q9H3S7
ENSP00000380638	Q14289
ENSP00000371133	Q9NP66
ENSP00000238379	Q9BSH5
ENSP00000363894	Q9BS92
ENSP00000388293	Q8NFU3
ENSP00000364585	Q9P258
ENSP00000462468	P07947
ENSP00000395654	P51532
ENSP00000262375	Q96EY1
ENSP00000478310	A0A5F9YFS9
ENSP00000348163	P13797
ENSP00000359958	O95218
ENSP00000445905	Q96CN4
ENSP00000251412	Q9NRH3
ENSP00000274853	Q6NYC8
ENSP00000254963	Q96MM6
ENSP00000238651	P49753
ENSP00000356263	Q9H993
ENSP00000360472	O95970
ENSP00000264657	P40763
ENSP00000268099	O15127
ENSP00000285667	P48723
ENSP00000263702	Q9BV79
ENSP00000364013	Q8IYR6
ENSP00000393066	Q6U841
ENSP00000223864	Q9HBL7
ENSP00000339587	O60443
ENSP00000334657	Q7Z4K8
ENSP00000284073	Q96DH6
ENSP00000281821	P54764
ENSP00000265388	Q9Y5L0
ENSP00000363205	Q9Y697
ENSP00000261889	Q13596
ENSP00000308753	Q9NYL9
ENSP00000404151	Q9Y4F5
ENSP00000381140	Q9NRZ7
ENSP00000328359	P59666
ENSP00000372136	P59665
ENSP00000372139	P59665
ENSP00000303423	P49354
ENSP00000334538	Q8WXA9
ENSP00000362444	O95886
ENSP00000373244	O95196
ENSP00000267199	Q96AX1
ENSP00000355279	Q9UIV1
ENSP00000259708	Q9NSK0
ENSP00000075120	P11169
ENSP00000179259	Q9NQ88
ENSP00000415332	Q86VW0
ENSP00000285420	A0A087X0W9
ENSP00000361331	O43414
ENSP00000274376	P20936
ENSP00000285381	P07451
ENSP00000438262	Q9UDY2
ENSP00000385749	P31321
ENSP00000358994	Q9UM54
ENSP00000245816	Q16740
ENSP00000226091	Q15768
ENSP00000216410	Q96EK6
ENSP00000225726	Q96A33
ENSP00000442682	O75689
ENSP00000363349	Q5VWJ9
ENSP00000435189	Q15771
ENSP00000424707	Q8TBQ9
ENSP00000442699	O43719
ENSP00000397927	F6VRR5
ENSP00000387266	Q08AE8
ENSP00000461295	I3L4J1
ENSP00000228872	P46527
ENSP00000376472	P46977
ENSP00000251047	P49257
ENSP00000354677	Q96SL4
ENSP00000370115	P30740
ENSP00000366032	Q9UBI1
ENSP00000338034	Q8WW59
ENSP00000308938	P00747
ENSP00000325785	Q69YQ0
ENSP00000316377	O14490
ENSP00000461945	Q13636
ENSP00000276569	Q9NVT9
ENSP00000371061	A6NDU8
ENSP00000466718	Q3MHD2
ENSP00000393511	Q6H8Q1
ENSP00000216122	P33992
ENSP00000262932	Q8N129
ENSP00000258526	O60486
ENSP00000324205	Q9BY43
ENSP00000204961	P98172
ENSP00000305480	P39748
ENSP00000421689	A0A5F9W493
ENSP00000366452	Q9NRS6
ENSP00000255390	O75880
ENSP00000469474	Q9NQR7
ENSP00000308759	Q9ULJ3
ENSP00000358081	O95817
ENSP00000387471	Q9Y3D0
ENSP00000381198	Q9P260
ENSP00000301939	Q8N2U0
ENSP00000223061	Q15113
ENSP00000365567	Q99805
ENSP00000326219	Q9BTZ2
ENSP00000278422	Q9Y320
ENSP00000258416	O60573
ENSP00000264431	Q9Y4G8
ENSP00000315017	Q9BYD6
ENSP00000226798	Q14331
ENSP00000287008	Q08174
ENSP00000428402	Q8IUQ0
ENSP00000281081	Q8TB37
ENSP00000379601	P51159
ENSP00000265381	Q02410
ENSP00000460964	I3L448
ENSP00000365919	Q9H1Z4
ENSP00000324573	Q13045
ENSP00000353030	P10586
ENSP00000000412	P20645
ENSP00000342262	Q8NFH3
ENSP00000311677	Q12972
ENSP00000455547	H3BQ06
ENSP00000405926	Q9Y3B3
ENSP00000318822	P55957
ENSP00000411397	P27448
ENSP00000243052	Q01064
ENSP00000272638	Q92575
ENSP00000316891	Q9UPQ0
ENSP00000261622	Q01650
ENSP00000363836	Q8ND76
ENSP00000306752	A0A499FJE1
ENSP00000331127	Q9H3K6
ENSP00000400168	G3V325
ENSP00000370542	P18827
ENSP00000255882	P42356
ENSP00000369702	Q6ZUX7
ENSP00000420608	Q8N766
ENSP00000226355	P43652
ENSP00000328848	P98175
ENSP00000405514	Q9ULJ8
ENSP00000292907	P24310
ENSP00000294053	Q9H078
ENSP00000369129	P15924
ENSP00000371559	Q53HC9
ENSP00000292432	P52790
ENSP00000477352	A0A0C4DGB0
ENSP00000305288	Q8NFZ4
ENSP00000309561	Q5XKP0
ENSP00000457723	Q15287
ENSP00000391397	P13640
ENSP00000481244	O00168
ENSP00000346012	Q969Q0
ENSP00000216259	Q92871
ENSP00000358563	O60832
ENSP00000371193	Q9BRF8
ENSP00000262013	O60271
ENSP00000254101	O43741
ENSP00000355623	Q9H425
ENSP00000364586	Q99250
ENSP00000369716	Q12873
ENSP00000292314	J3KR35
ENSP00000228841	P10916
ENSP00000361433	Q13868
ENSP00000358696	P51805
ENSP00000295065	Q9Y316
ENSP00000007699	Q9Y2T7
ENSP00000256707	Q9ULH0
ENSP00000301740	Q9UQ35
ENSP00000352928	Q9BW61
ENSP00000284770	A0A2U3TZH4
ENSP00000199448	Q9UM22
ENSP00000359729	Q92581
ENSP00000363322	Q8NHZ8
ENSP00000384259	Q9Y4P1
ENSP00000365926	Q969G6
ENSP00000221459	Q9HAP6
ENSP00000257552	O43347
ENSP00000475727	Q9P0N9
ENSP00000354201	Q9H832
ENSP00000240055	P25208
ENSP00000275162	Q5SYC1
ENSP00000416561	P00751
ENSP00000410833	Q04446
ENSP00000304139	O75526
ENSP00000433427	Q9NXU5
ENSP00000365019	Q9Y657
ENSP00000360682	Q9BUH6
ENSP00000408411	P13473
ENSP00000370966	O95825
ENSP00000369887	Q9NWH9
ENSP00000478878	Q96A23
ENSP00000252622	Q9UK45
ENSP00000215570	Q9Y5L4
ENSP00000376872	Q9UBK7
ENSP00000363228	Q9NTZ6
ENSP00000251527	A0A499FIX8
ENSP00000278980	Q86VX2
ENSP00000227667	P02656
ENSP00000380336	Q2TAY7
ENSP00000366998	Q9Y5X3
ENSP00000244763	P43307
ENSP00000265872	Q8IX12
ENSP00000433146	Q96K76
ENSP00000481917	A0A087WYL5
ENSP00000377664	Q14C86
ENSP00000372160	Q6PKX4
ENSP00000415151	Q13951
ENSP00000450527	Q9BPY8
ENSP00000445929	Q8TDB8
ENSP00000379709	Q5T5U3
ENSP00000399970	Q66LE6
ENSP00000264220	Q06203
ENSP00000362728	O60684
ENSP00000370074	P50453
ENSP00000265056	P49736
ENSP00000364008	Q8TBJ4
ENSP00000359258	P48507
ENSP00000351619	P30039
ENSP00000365227	P55008
ENSP00000220478	Q8WXD2
ENSP00000265070	Q9H4A6
ENSP00000378517	P10451
ENSP00000339067	Q8TAT2
ENSP00000302037	Q9GZY8
ENSP00000380602	Q8IWV2
ENSP00000360860	Q13325
ENSP00000320084	Q5ZPR3
ENSP00000436005	Q9Y296
ENSP00000417050	B4E171
ENSP00000364403	Q5T4S7
ENSP00000254730	P57772
ENSP00000329097	Q8IWS0
ENSP00000357051	P40855
ENSP00000263780	Q9UQN3
ENSP00000376753	O14908
ENSP00000259512	Q9BUN8
ENSP00000419325	Q96I99
ENSP00000233535	Q99726
ENSP00000360541	P23786
ENSP00000420315	Q9BV23
ENSP00000373487	P05783
ENSP00000251645	Q15323
ENSP00000272424	Q9Y3C4
ENSP00000481126	A0A087WXL6
ENSP00000469689	Q9UPX8
ENSP00000261023	P06756
ENSP00000359297	Q15738
ENSP00000374152	Q6GMV2
ENSP00000378492	Q14416
ENSP00000257245	P62072
ENSP00000329287	O75324
ENSP00000418823	Q9C0B1
ENSP00000380794	Q8WUX9
ENSP00000380489	P02144
ENSP00000234420	P52701
ENSP00000291386	Q9NP77
ENSP00000256644	A0A8Z5A536
ENSP00000482841	P29373
ENSP00000265459	Q9P2S2
ENSP00000216465	A0A0C4DFM0
ENSP00000380942	Q9NZN5
ENSP00000263433	Q9BZL4
ENSP00000233055	Q8IWB7
ENSP00000052754	P07585
ENSP00000341483	Q9H6Z4
ENSP00000267812	P55081
ENSP00000307199	Q9NZD4
ENSP00000429900	Q9ULH1
ENSP00000258383	Q9H9J2
ENSP00000309117	Q9NWB1
ENSP00000221859	P36954
ENSP00000288111	Q96LJ7
ENSP00000308334	A0A5K1VW60
ENSP00000340672	Q9UH62
ENSP00000378699	P06493
ENSP00000378958	Q9UNT1
ENSP00000350170	P51114
ENSP00000370695	Q9NV70
ENSP00000342331	Q96B45
ENSP00000164133	Q15173
ENSP00000234454	P35270
ENSP00000348984	P18583
ENSP00000472847	Q9NP81
ENSP00000358474	P46736
ENSP00000433919	P54105
ENSP00000353741	P62495
ENSP00000369081	Q8NBS9
ENSP00000479130	Q4G176
ENSP00000328677	Q8TF44
ENSP00000383042	O60341
ENSP00000262878	Q9Y3Z3
ENSP00000011473	Q16563
ENSP00000379457	Q9UNN5
ENSP00000254695	Q684P5
ENSP00000359300	P41208
ENSP00000345719	O14656
ENSP00000358554	O75934
ENSP00000359233	P28288
ENSP00000307959	F6QMI7
ENSP00000385410	Q14978
ENSP00000307491	Q8TAF3
ENSP00000310933	Q8WXG6
ENSP00000326806	P52298
ENSP00000369500	Q96A49
ENSP00000396308	P00374
ENSP00000363023	Q9Y2H0
ENSP00000483300	Q13085
ENSP00000312185	Q92556
ENSP00000270642	A6NGN9
ENSP00000345001	Q6UUV9
ENSP00000435926	Q92879
ENSP00000294129	Q9NZQ3
ENSP00000380241	P36639
ENSP00000478490	A0A087WY31
ENSP00000410689	Q8N556
ENSP00000377486	P49406
ENSP00000333837	P52815
ENSP00000040663	Q9BV20
ENSP00000263080	P45381
ENSP00000307666	Q96JG6
ENSP00000434724	Q9GZT6
ENSP00000410964	O75477
ENSP00000348043	Q8TCA0
ENSP00000370741	Q9NXG2
ENSP00000412302	O95983
ENSP00000382250	P82932
ENSP00000264424	Q02153
ENSP00000480483	A0A087WWT2
ENSP00000373364	Q8NBJ4
ENSP00000305810	Q9P2W9
ENSP00000317376	P82912
ENSP00000434887	Q8IYQ7
ENSP00000380565	P48509
ENSP00000468424	P30419
ENSP00000353654	P08572
ENSP00000360922	O95793
ENSP00000378887	Q6IAN0
ENSP00000216286	Q14112
ENSP00000370648	Q9HBH5
ENSP00000382707	Q01628
ENSP00000319781	Q86YS6
ENSP00000452181	Q9H9C1
ENSP00000297338	O60216
ENSP00000309031	Q96JH7
ENSP00000312262	P25098
ENSP00000350032	Q9P2Q2
ENSP00000362153	Q13823
ENSP00000273283	P19827
ENSP00000241502	Q96QD9
ENSP00000329748	Q86YQ8
ENSP00000274787	Q9BW72
ENSP00000290246	Q96JJ3
ENSP00000282369	Q9NQ86
ENSP00000361993	O60220
ENSP00000444561	Q9P0S9
ENSP00000359025	O00186
ENSP00000344220	O15530
ENSP00000271628	Q15427
ENSP00000366237	O00273
ENSP00000256997	P11117
ENSP00000296411	P53582
ENSP00000263121	A0A0G2JRV3
ENSP00000340796	Q5BKZ1
ENSP00000312981	Q53GS9
ENSP00000315568	Q8NBF6
ENSP00000470539	P0DJ07
ENSP00000381104	Q92544
ENSP00000232607	P11172
ENSP00000405620	Q7L2E3
ENSP00000378040	Q92934
ENSP00000252490	P02655
ENSP00000466775	P02655
ENSP00000313571	P47929
ENSP00000367891	P47929
ENSP00000354848	Q96EK5
ENSP00000361769	Q9UJD0
ENSP00000379364	Q9H8S9
ENSP00000427407	Q8N5G0
ENSP00000329915	O95456
ENSP00000288532	Q5HYK3
ENSP00000449241	F8VVT9
ENSP00000349541	Q6NZI2
ENSP00000262067	O95857
ENSP00000310448	O43290
ENSP00000272427	Q9Y2D4
ENSP00000380460	Q9Y263
ENSP00000263228	Q712K3
ENSP00000370625	P30876
ENSP00000223023	O00401
ENSP00000298630	Q86UX6
ENSP00000229314	Q9Y3E0
ENSP00000428426	P23193
ENSP00000420321	Q9Y6N7
ENSP00000297954	Q9Y3S1
ENSP00000303570	Q8IV38
ENSP00000479636	Q8N3E9
ENSP00000259365	P28289
ENSP00000362918	Q9Y5A9
ENSP00000311825	P56545
ENSP00000386443	A0A5F9UY30
ENSP00000396301	Q13123
ENSP00000273064	Q92600
ENSP00000352157	D6RJF9
ENSP00000433126	Q5BJD5
ENSP00000333667	P34897
ENSP00000322937	Q6UWE0
ENSP00000404042	Q7Z7H5
ENSP00000341247	Q8IYD1
ENSP00000394085	Q6NYC1
ENSP00000339086	Q9ULH7
ENSP00000262302	Q9Y5Y2
ENSP00000311766	A0A5K1VW56
ENSP00000366396	Q9H0D6
ENSP00000378427	Q7Z6I8
ENSP00000309714	A1X283
ENSP00000322594	Q14964
ENSP00000344666	P35240
ENSP00000337358	Q9BXW7
ENSP00000271526	Q92733
ENSP00000294785	Q92542
ENSP00000251166	P57737
ENSP00000418944	Q86TG7
ENSP00000448696	Q8N9I9
ENSP00000282007	Q5T200
ENSP00000353072	Q93084
ENSP00000236925	Q08AD1
ENSP00000409924	B3KSP9
ENSP00000256637	Q99523
ENSP00000367151	O14917
ENSP00000304895	P35568
ENSP00000438284	A0A3F2YP58
ENSP00000376792	Q96AJ9
ENSP00000342434	Q9UIG0
ENSP00000416341	Q99435
ENSP00000428756	Q9NUL3
ENSP00000262450	Q8TDI0
ENSP00000315569	Q8IYB7
ENSP00000330787	O75438
ENSP00000428417	Q86UR5
ENSP00000274710	Q9BQI7
ENSP00000309430	Q96S52
ENSP00000448536	Q8TAD7
ENSP00000259455	O75899
ENSP00000410309	P54750
ENSP00000385205	Q9NRD5
ENSP00000262053	P18846
ENSP00000288828	Q9Y4P8
ENSP00000422607	P33121
ENSP00000398481	Q86UW7
ENSP00000313603	Q8NE71
ENSP00000416951	E7ERS3
ENSP00000366233	Q9UBS5
ENSP00000354730	Q96JM3
ENSP00000379282	O95870
ENSP00000360162	B7ZLQ5
ENSP00000410603	Q86XD5
ENSP00000244227	Q8WVK2
ENSP00000231751	P02788
ENSP00000326366	P49768
ENSP00000330918	A6NDG6
ENSP00000322316	Q99807
ENSP00000356265	Q8NEY1
ENSP00000377778	Q9BRT3
ENSP00000393559	Q86VP3
ENSP00000363779	O95163
ENSP00000373343	Q8IYJ1
ENSP00000384949	P32322
ENSP00000374447	Q9Y2L9
ENSP00000379339	P62273
ENSP00000231948	Q96SW2
ENSP00000181796	Q9H098
ENSP00000261531	Q13573
ENSP00000385927	Q96DB5
ENSP00000219204	Q9Y2Y0
ENSP00000262887	P18887
ENSP00000401770	P56378
ENSP00000333946	Q9Y2Z9
ENSP00000261655	O15034
ENSP00000406482	Q9UPZ6
ENSP00000339004	P55316
ENSP00000335808	Q9GZU8
ENSP00000296328	O94888
ENSP00000306754	Q15784
ENSP00000221486	O75792
ENSP00000311005	Q13164
ENSP00000484056	Q9NUD5
ENSP00000371018	O00241
ENSP00000355064	Q96DD7
ENSP00000350075	Q7Z6K5
ENSP00000473631	Q13217
ENSP00000280362	Q03393
ENSP00000220966	A0A0A0MQS1
ENSP00000348848	Q9Y484
ENSP00000359506	Q06787
ENSP00000362707	Q9NQG1
ENSP00000379366	Q7L9L4
ENSP00000303507	P11274
ENSP00000357693	Q96FQ6
ENSP00000217455	O14734
ENSP00000262507	O75208
ENSP00000265069	Q96KR1
ENSP00000478059	G0XQ39
ENSP00000290216	Q96FV2
ENSP00000267202	Q9H9H4
ENSP00000288937	Q9NRX2
ENSP00000444957	F6SFB5
ENSP00000380746	Q8N461
ENSP00000259569	O60518
ENSP00000238497	O75351
ENSP00000365714	Q9H313
ENSP00000460885	A0A0A6YYL4
ENSP00000337040	Q13432
ENSP00000265471	O94766
ENSP00000263212	P49593
ENSP00000472249	O60234
ENSP00000260508	Q6YP21
ENSP00000378165	O43670
ENSP00000350719	Q8WXH0
ENSP00000275493	P00533
ENSP00000246117	Q969V3
ENSP00000466799	P14061
ENSP00000219252	P19387
ENSP00000369146	Q8N339
ENSP00000332139	P00746
ENSP00000363973	P05186
ENSP00000293760	Q8NC56
ENSP00000236918	P45379
ENSP00000383365	Q9NNW7
ENSP00000368062	Q5T2N8
ENSP00000274496	Q969M3
ENSP00000260585	Q9C0D9
ENSP00000366927	P30837
ENSP00000383376	P57087
ENSP00000255631	Q9NZL4
ENSP00000249066	Q9BQE5
ENSP00000424544	Q13454
ENSP00000402861	Q15111
ENSP00000443459	P54687
ENSP00000264883	Q7Z3B4
ENSP00000401371	P31483
ENSP00000265727	Q9P0K1
ENSP00000312741	Q96RR4
ENSP00000434442	Q8N6H7
ENSP00000280886	Q9Y2E4
ENSP00000384273	Q04206
ENSP00000304236	P08571
ENSP00000384081	Q9Y2G0
ENSP00000262879	Q86X10
ENSP00000448182	Q8TC07
ENSP00000363411	P50151
ENSP00000260643	Q9HCU5
ENSP00000387593	Q9HCD6
ENSP00000427015	Q15349
ENSP00000417418	Q8NHS0
ENSP00000416583	Q9Y315
ENSP00000320236	Q9Y584
ENSP00000364902	Q9H488
ENSP00000399013	Q8WYK1
ENSP00000357787	P10746
ENSP00000389631	O15143
ENSP00000347206	O43292
ENSP00000407552	O60861
ENSP00000322716	Q49A26
ENSP00000265709	P16157
ENSP00000281038	Q96I59
ENSP00000376410	Q27J81
ENSP00000358307	Q8NBF2
ENSP00000402537	Q9NXD2
ENSP00000349270	Q6B0K9
ENSP00000262188	Q6STE5
ENSP00000420477	O15069
ENSP00000275820	Q5C9Z4
ENSP00000355613	Q6ZTA4
ENSP00000005286	Q24JP5
ENSP00000319851	Q8NE62
ENSP00000264670	Q08J23
ENSP00000338814	Q9UL15
ENSP00000217446	Q9H490
ENSP00000385450	Q96QZ7
ENSP00000309555	P51610
ENSP00000374280	Q92541
ENSP00000346130	Q8NHG7
ENSP00000445725	Q96K19
ENSP00000261918	O75326
ENSP00000384364	P01303
ENSP00000362773	Q9Y237
ENSP00000478458	Q9UPR0
ENSP00000480791	P05230
ENSP00000379346	Q9H2P0
ENSP00000345752	Q13614
ENSP00000401264	Q9NRF8
ENSP00000378058	Q12805
ENSP00000306220	Q8N4V1
ENSP00000270176	Q96KG9
ENSP00000356562	Q9UBH6
ENSP00000440765	Q96S19
ENSP00000365505	Q04941
ENSP00000400646	Q8TCS8
ENSP00000362560	Q96N03
ENSP00000238892	Q9P021
ENSP00000302564	Q07817
ENSP00000379873	P04439
ENSP00000264651	Q2M2I5
ENSP00000259229	Q96NT0
ENSP00000288602	A0A2U3TZI2
ENSP00000382697	Q13464
ENSP00000361918	Q9UNP9
ENSP00000222482	Q9UI42
ENSP00000365401	O60826
ENSP00000305692	P10253
ENSP00000260408	O14672
ENSP00000219782	P56270
ENSP00000377840	Q02641
ENSP00000388638	Q96I25
ENSP00000338774	Q9H165
ENSP00000420357	Q9H446
ENSP00000376178	P32856
ENSP00000273075	Q9ULA0
ENSP00000460871	O76021
ENSP00000434142	Q16890
ENSP00000209668	P07327
ENSP00000261811	Q9H1C7
ENSP00000417052	Q15125
ENSP00000287156	O14933
ENSP00000458762	Q9HBL8
ENSP00000416015	Q7RTP6
ENSP00000426941	Q92552
ENSP00000228705	Q9ULR3
ENSP00000283027	P53384
ENSP00000303427	Q29RF7
ENSP00000236192	O75379
ENSP00000367038	Q9P2E9
ENSP00000343002	Q6Y288
ENSP00000316543	Q70E73
ENSP00000358810	Q5VSL9
ENSP00000378957	P55083
ENSP00000339495	Q8WX92
ENSP00000339495	A0A5H1ZRP4
ENSP00000362300	Q9UL18
ENSP00000357705	P26447
ENSP00000351159	O75175
ENSP00000362948	Q9BUE0
ENSP00000454437	H3BML4
ENSP00000381425	Q13368
ENSP00000326531	Q86W42
ENSP00000268720	Q9UBL6
ENSP00000413908	Q9Y276
ENSP00000275766	Q96H79
