Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
CA12|O43570;CA12;NA;1,6E-02;1,4E-01;-0,267
BMP6|P22004;BMP6;NA;1,6E-02;1,4E-01;-0,102
CAMK2A|Q9UQM7;CAMK2A;turquoise;1,6E-02;1,4E-01;0,177
SBSN|Q6UWP8;SBSN;NA;1,6E-02;1,5E-01;0,192
APOC4-APOC2|K7ER74;APOC4-APOC2;blue;1,6E-02;1,5E-01;-0,382
AEBP1|Q8IUX7;AEBP1;red;1,6E-02;1,5E-01;-0,141
PREPL|Q4J6C6;PREPL;grey;1,6E-02;1,5E-01;0,162
CYR61|O00622;CYR61;NA;1,6E-02;1,5E-01;0,155
ITGA1|P56199;ITGA1;red;1,6E-02;1,5E-01;-0,099
SYT1|J3KQA0;SYT1;turquoise;1,7E-02;1,5E-01;0,403
LRRC4|Q9HBW1;LRRC4;grey;1,7E-02;1,5E-01;0,080
HMCN1|Q96RW7;HMCN1;NA;1,7E-02;1,5E-01;-0,091
PRL|Q5I0G2;PRL;NA;1,7E-02;1,5E-01;-0,189
NME2|Q32Q12;NME2;NA;1,7E-02;1,5E-01;0,180
SLC1A2|P43004;SLC1A2;turquoise;1,7E-02;1,5E-01;0,147
APOE|E7ERP7;APOE;green;1,7E-02;1,5E-01;-0,311
PLXNB3|Q9ULL4-2;PLXNB3;blue;1,8E-02;1,5E-01;-0,094
DPP3|G3V180;DPP3;yellow;1,8E-02;1,5E-01;0,092
WARS|P23381;WARS;brown;1,8E-02;1,5E-01;0,139
C4orf48|Q5BLP8-2;C4orf48;NA;1,8E-02;1,5E-01;-0,068
MARCKSL1|P49006;MARCKSL1;blue;1,8E-02;1,5E-01;0,092
MAP4|E7EVA0;MAP4;blue;1,8E-02;1,5E-01;0,194
GALNT6|Q8NCL4;GALNT6;NA;1,8E-02;1,5E-01;-0,190
DCN|P07585;DCN;red;1,8E-02;1,5E-01;-0,146
ROBO1|Q9Y6N7-2;ROBO1;grey;1,8E-02;1,6E-01;-0,103
SPP1|P10451;SPP1;blue;1,8E-02;1,6E-01;0,109
SCARA5|Q6ZMJ2;SCARA5;NA;1,9E-02;1,6E-01;-0,115
NRXN2|Q9P2S2;NRXN2;orange;1,9E-02;1,6E-01;-0,101
NUCB2|A0A087WSV8;NUCB2;red;1,9E-02;1,6E-01;-0,157
P4HB|P07237;P4HB;brown;1,9E-02;1,6E-01;-0,057
BACE1|P56817;BACE1;green;1,9E-02;1,6E-01;0,129
CEND1|Q8N111;CEND1;turquoise;1,9E-02;1,6E-01;0,138
HIST1H1B|P16401;HIST1H1B;red;1,9E-02;1,6E-01;-0,570
RPN2|P04844;RPN2;red;1,9E-02;1,6E-01;-0,148
TIMP3|P35625;TIMP3;red;1,9E-02;1,6E-01;0,110
ZZEF1|O43149;ZZEF1;skyblue;2,0E-02;1,6E-01;0,118
SERPINA5|P05154;SERPINA5;NA;2,0E-02;1,6E-01;-0,238
CDIP1|Q9H305;CDIP1;darkturquoise;2,0E-02;1,6E-01;0,193
MYLK|Q15746;MYLK;pink;2,0E-02;1,6E-01;-0,301
SLITRK4|Q8IW52;SLITRK4;turquoise;2,0E-02;1,6E-01;-0,172
ANTXR1|Q9H6X2;ANTXR1;grey;2,0E-02;1,6E-01;-0,108
LMTK3|A0A0A0MQW5;LMTK3;turquoise;2,0E-02;1,6E-01;0,216
MGAT2|Q10469;MGAT2;NA;2,1E-02;1,6E-01;-0,170
CCBL1|B7Z4W5;CCBL1;salmon;2,1E-02;1,7E-01;0,121
SF3A1|Q15459;SF3A1;darkred;2,1E-02;1,7E-01;-0,148
FIBIN|Q8TAL6;FIBIN;NA;2,1E-02;1,7E-01;-0,102
CACYBP|Q9HB71;CACYBP;darkolivegreen;2,1E-02;1,7E-01;0,116
AP2B1|P63010-2;AP2B1;turquoise;2,1E-02;1,7E-01;0,108
COL5A2|P05997;COL5A2;red;2,2E-02;1,7E-01;-0,100
EPHA6|A0A0B4J1T8;EPHA6;NA;2,2E-02;1,7E-01;-0,150
VPS29|F8VXU5;VPS29;brown;2,2E-02;1,7E-01;0,154
KNG1|P01042;KNG1;midnightblue;2,2E-02;1,7E-01;-0,257
MRC2|Q9UBG0;MRC2;NA;2,2E-02;1,7E-01;-0,085
TENM1|Q9UKZ4-2;TENM1;NA;2,2E-02;1,7E-01;-0,078
FABP7|O15540-2;FABP7;saddlebrown;2,2E-02;1,7E-01;0,111
BROX|Q5VW32;BROX;royalblue;2,3E-02;1,8E-01;-0,335
TREM2|Q9NZC2;TREM2;NA;2,3E-02;1,8E-01;0,301
GALNT1|Q10472;GALNT1;NA;2,3E-02;1,8E-01;-0,084
WFIKKN2|Q8TEU8;WFIKKN2;NA;2,3E-02;1,8E-01;-0,208
SSTR2|P30874;SSTR2;turquoise;2,3E-02;1,8E-01;0,162
REEP2|Q9BRK0-2;REEP2;turquoise;2,3E-02;1,8E-01;0,147
OSMR|Q99650;OSMR;NA;2,4E-02;1,8E-01;-0,093
PPP1R7|Q15435;PPP1R7;brown;2,4E-02;1,8E-01;0,186
IGSF8|Q969P0;IGSF8;purple;2,4E-02;1,8E-01;-0,119
OLFML3|Q9NRN5;OLFML3;red;2,4E-02;1,8E-01;-0,102
AMPH|P49418;AMPH;plum1;2,5E-02;1,9E-01;0,108
MTURN|Q8N3F0;MTURN;grey;2,6E-02;1,9E-01;0,265
KNG1|P01042-2;KNG1;midnightblue;2,6E-02;1,9E-01;-0,214
CX3CL1|H3BSR6;CX3CL1;NA;2,6E-02;1,9E-01;-0,139
TXNRD2|Q9NNW7;TXNRD2;turquoise;2,6E-02;1,9E-01;0,112
YME1L1|Q96TA2;YME1L1;turquoise;2,6E-02;1,9E-01;0,362
ATG9A|Q7Z3C6;ATG9A;orangered4;2,6E-02;1,9E-01;0,171
C8B|P07358;C8B;midnightblue;2,6E-02;1,9E-01;-0,304
C8A|P07357;C8A;NA;2,6E-02;1,9E-01;-0,256
PRAP1|H7BY64;PRAP1;NA;2,6E-02;1,9E-01;-0,173
ATP6AP1|Q15904;ATP6AP1;turquoise;2,7E-02;1,9E-01;-0,262
SCG2|P13521;SCG2;turquoise;2,7E-02;2,0E-01;-0,148
ITM2A|O43736;ITM2A;NA;2,7E-02;2,0E-01;-0,154
VIP|P01282;VIP;NA;2,7E-02;2,0E-01;-0,139
GPLD1|P80108;GPLD1;NA;2,7E-02;2,0E-01;-0,201
SIGLEC9|Q9Y336-2;SIGLEC9;NA;2,7E-02;2,0E-01;0,146
GART|P22102;GART;lightcyan;2,7E-02;2,0E-01;0,174
BOLA2|Q9H3K6;BOLA2;blue;2,7E-02;2,0E-01;-0,225
CHST7|Q9NS84;CHST7;NA;2,7E-02;2,0E-01;0,152
SYN3|O14994;SYN3;turquoise;2,8E-02;2,0E-01;0,303
KRT2|P35908;KRT2;floralwhite;2,8E-02;2,0E-01;0,238
GKN1|Q9NS71;GKN1;NA;2,8E-02;2,0E-01;-0,243
TRH|P20396;TRH;NA;2,8E-02;2,0E-01;0,506
EPHB3|P54753;EPHB3;grey;2,8E-02;2,0E-01;-0,070
CD5L|O43866;CD5L;NA;2,8E-02;2,0E-01;-0,218
GSTO1|P78417;GSTO1;blue;2,8E-02;2,0E-01;0,154
GPIHBP1|Q8IV16;GPIHBP1;NA;2,9E-02;2,0E-01;0,274
uncharacterized|A0A0B4J2D5;uncharacterized;NA;2,9E-02;2,0E-01;0,171
SQSTM1|Q13501;SQSTM1;green;2,9E-02;2,0E-01;0,110
DYNC1LI2|O43237;DYNC1LI2;yellow;2,9E-02;2,0E-01;0,129
RTN4R|H7C215;RTN4R;turquoise;2,9E-02;2,0E-01;-0,091
ROBO2|R4GMM8;ROBO2;turquoise;2,9E-02;2,0E-01;-0,083
YKT6|O15498;YKT6;grey;2,9E-02;2,0E-01;0,122
CD14|P08571;CD14;grey;2,9E-02;2,0E-01;-0,098
PCDHGB5|Q9Y5G0;PCDHGB5;cyan;2,9E-02;2,0E-01;-0,092
C6orf211|Q9H993;C6orf211;magenta;2,9E-02;2,0E-01;0,136
HSP90B1|P14625;HSP90B1;red;2,9E-02;2,0E-01;-0,136
POFUT2|Q9Y2G5;POFUT2;violet;3,0E-02;2,0E-01;-0,176
SYT1|P21579;SYT1;turquoise;3,0E-02;2,0E-01;0,141
LINGO3|P0C6S8;LINGO3;NA;3,0E-02;2,0E-01;-0,092
SCAP|Q12770;SCAP;greenyellow;3,0E-02;2,1E-01;-0,248
C1QTNF5|Q9BXJ0;C1QTNF5;saddlebrown;3,0E-02;2,1E-01;0,067
EIF2S2|P20042;EIF2S2;grey;3,1E-02;2,1E-01;0,219
NRXN1|E7ETA5;NRXN1;turquoise;3,1E-02;2,1E-01;-0,142
CHST10|O43529;CHST10;NA;3,1E-02;2,1E-01;-0,177
PSMD3|O43242;PSMD3;lightyellow;3,1E-02;2,1E-01;-0,174
EPB41L3|Q9Y2J2;EPB41L3;purple;3,1E-02;2,1E-01;0,220
BTN3A2|P78410;BTN3A2;orange;3,1E-02;2,1E-01;-0,119
PON1|P27169;PON1;midnightblue;3,1E-02;2,1E-01;-0,381
IGF2|P01344-3;IGF2;NA;3,1E-02;2,1E-01;-0,121
HYI|Q5T013;HYI;mediumpurple3;3,1E-02;2,1E-01;0,133
COL14A1|Q05707;COL14A1;red;3,1E-02;2,1E-01;-0,075
NID2|Q14112;NID2;red;3,2E-02;2,1E-01;-0,082
PCSK9|Q8NBP7;PCSK9;NA;3,2E-02;2,1E-01;-0,126
COLEC11|Q9BWP8-10;COLEC11;NA;3,2E-02;2,1E-01;-0,172
LAMA5|O15230;LAMA5;red;3,2E-02;2,1E-01;-0,054
ELMO1|H7C0S6;ELMO1;yellow;3,2E-02;2,1E-01;-0,292
MAT2A|P31153;MAT2A;yellow;3,2E-02;2,1E-01;0,149
HIST1H4A|P62805;HIST1H4A;green;3,2E-02;2,1E-01;-0,228
HBG2|P69892;HBG2;grey;3,2E-02;2,1E-01;-0,459
PSMB4|P28070;PSMB4;grey;3,3E-02;2,1E-01;0,171
KDR|P35968;KDR;NA;3,3E-02;2,1E-01;-0,127
SYN1|P17600;SYN1;turquoise;3,3E-02;2,1E-01;0,200
ANXA1|P04083;ANXA1;saddlebrown;3,4E-02;2,2E-01;-0,164
OLFML1|Q6UWY5;OLFML1;red;3,4E-02;2,2E-01;-0,127
TMEM5|Q9Y2B1;TMEM5;NA;3,4E-02;2,2E-01;-0,095
TKT|P29401-2;TKT;blue;3,4E-02;2,2E-01;0,127
PPM1L|Q5SGD2;PPM1L;paleturquoise;3,4E-02;2,2E-01;-0,109
FAM20B|O75063;FAM20B;NA;3,4E-02;2,2E-01;-0,106
FAM155A|B1AL88;FAM155A;grey;3,5E-02;2,2E-01;0,187
RAB5C|P51148-2;RAB5C;grey;3,5E-02;2,2E-01;-0,169
MANEA|Q5SRI9;MANEA;NA;3,5E-02;2,2E-01;0,103
APOA2|V9GYM3;APOA2;grey;3,5E-02;2,2E-01;-0,295
KRT86|O43790;KRT86;NA;3,5E-02;2,2E-01;-0,690
PCSK1|P29120;PCSK1;turquoise;3,5E-02;2,2E-01;-0,156
ACTR3|P61158;ACTR3;yellowgreen;3,5E-02;2,2E-01;-0,141
CACHD1|Q5VU97;CACHD1;darkgreen;3,6E-02;2,3E-01;-0,116
DPP10|Q8N608-3;DPP10;turquoise;3,6E-02;2,3E-01;0,113
PCLO|Q9Y6V0-5;PCLO;turquoise;3,6E-02;2,3E-01;0,157
RPS11|P62280;RPS11;black;3,6E-02;2,3E-01;-0,168
HRG|P04196;HRG;NA;3,6E-02;2,3E-01;-0,269
OLR1|P78380;OLR1;NA;3,7E-02;2,3E-01;0,099
LNP|Q9C0E8-4;LNP;purple;3,7E-02;2,3E-01;0,108
ACHE|P22303;ACHE;NA;3,7E-02;2,3E-01;0,109
IGF1R|P08069;IGF1R;grey;3,8E-02;2,3E-01;0,076
SAA2-SAA4|A0A096LPE2;SAA2-SAA4;grey;3,8E-02;2,3E-01;-0,229
CORO1C|Q9ULV4-3;CORO1C;green;3,8E-02;2,4E-01;-0,157
RECK|O95980;RECK;darkgreen;3,8E-02;2,4E-01;-0,065
CAMK2D|Q13557-12;CAMK2D;black;3,8E-02;2,4E-01;0,121
C9|P02748;C9;red;3,9E-02;2,4E-01;-0,235
EMC10|M0R2A0;EMC10;grey;3,9E-02;2,4E-01;-0,077
ADAM11|O75078;ADAM11;brown;3,9E-02;2,4E-01;-0,097
PRRT2|Q7Z6L0-2;PRRT2;turquoise;3,9E-02;2,4E-01;0,114
PHOX2B|Q99453;PHOX2B;NA;3,9E-02;2,4E-01;-0,179
IGFBP6|P24592;IGFBP6;plum1;3,9E-02;2,4E-01;-0,120
M6PR|P20645;M6PR;turquoise;3,9E-02;2,4E-01;0,175
MAT2B|Q9NZL9;MAT2B;blue;4,0E-02;2,4E-01;0,115
ST13|P50502;ST13;yellow;4,0E-02;2,4E-01;0,109
TNFRSF8|P28908;TNFRSF8;NA;4,1E-02;2,4E-01;-0,157
LDHA|P00338-3;LDHA;turquoise;4,1E-02;2,4E-01;0,176
EPHA7|Q15375;EPHA7;grey;4,1E-02;2,4E-01;-0,087
VIT|Q6UXI7-4;VIT;NA;4,1E-02;2,4E-01;-0,197
TNFRSF11B|O00300;TNFRSF11B;NA;4,1E-02;2,4E-01;0,110
PAK1|Q13153-2;PAK1;turquoise;4,1E-02;2,4E-01;0,195
RDX|P35241-5;RDX;blue;4,2E-02;2,5E-01;0,080
ITGB4|P16144;ITGB4;pink;4,2E-02;2,5E-01;0,072
DPP4|P27487;DPP4;NA;4,2E-02;2,5E-01;-0,188
CSF1|P09603;CSF1;NA;4,2E-02;2,5E-01;-0,051
AMBP|P02760;AMBP;midnightblue;4,3E-02;2,5E-01;-0,220
SLITRK2|Q9H156;SLITRK2;skyblue;4,3E-02;2,5E-01;-0,133
HSPA13|P48723;HSPA13;brown;4,3E-02;2,5E-01;-0,131
ADAMTSL1|Q8N6G6;ADAMTSL1;NA;4,3E-02;2,5E-01;0,110
ADD1|P35611-4;ADD1;grey;4,3E-02;2,5E-01;0,280
PTPRZ1|P23471;PTPRZ1;blue;4,3E-02;2,5E-01;0,085
PTPRN|Q16849;PTPRN;turquoise;4,3E-02;2,5E-01;-0,133
CCER2|I3L3R5;CCER2;NA;4,4E-02;2,5E-01;-0,136
KLKB1|H0YAC1;KLKB1;NA;4,4E-02;2,5E-01;-0,236
PCP4|P48539;PCP4;purple;4,4E-02;2,5E-01;0,109
FKRP|Q9H9S5;FKRP;NA;4,4E-02;2,5E-01;-0,098
HEBP1|Q9NRV9;HEBP1;yellow;4,4E-02;2,5E-01;0,098
ENTPD6|O75354;ENTPD6;NA;4,5E-02;2,5E-01;-0,112
UGGT1|Q9NYU2;UGGT1;turquoise;4,5E-02;2,6E-01;-0,070
HABP2|Q14520;HABP2;NA;4,5E-02;2,6E-01;-0,214
SMOC2|Q9H3U7-2;SMOC2;NA;4,5E-02;2,6E-01;0,097
LAMC3|Q9Y6N6;LAMC3;darkgreen;4,5E-02;2,6E-01;-0,068
FABP1|P07148;FABP1;NA;4,6E-02;2,6E-01;-0,285
LINGO1|Q96FE5;LINGO1;turquoise;4,7E-02;2,6E-01;-0,163
COL6A1|P12109;COL6A1;red;4,7E-02;2,6E-01;-0,087
CDH2|P19022;CDH2;lightgreen;4,7E-02;2,6E-01;-0,112
ECI1|P42126;ECI1;green;4,7E-02;2,6E-01;-0,178
BAI2|O60241;BAI2;turquoise;4,7E-02;2,6E-01;-0,157
IMPA1|P29218-3;IMPA1;yellow;4,7E-02;2,6E-01;0,097
SPRN|Q5BIV9;SPRN;NA;4,8E-02;2,7E-01;-0,182
EIF4H|Q15056;EIF4H;brown;4,8E-02;2,7E-01;0,150
CCT6A|P40227;CCT6A;turquoise;4,8E-02;2,7E-01;-0,238
GLO1|Q04760;GLO1;darkgrey;4,8E-02;2,7E-01;0,124
GOT2|P00505;GOT2;brown;4,8E-02;2,7E-01;0,109
DISP2|A7MBM2;DISP2;darkorange;4,8E-02;2,7E-01;-0,277
FAS|P25445;FAS;grey;4,8E-02;2,7E-01;0,087
CP|P00450;CP;midnightblue;4,8E-02;2,7E-01;-0,223
RTN3|O95197;RTN3;turquoise;4,9E-02;2,7E-01;0,123
SERPINA12|Q8IW75;SERPINA12;NA;4,9E-02;2,7E-01;0,166
LHPP|Q9H008;LHPP;blue;4,9E-02;2,7E-01;0,076
CSTA|P01040;CSTA;NA;4,9E-02;2,7E-01;0,270
PDGFRA|P16234;PDGFRA;blue;4,9E-02;2,7E-01;-0,091
PSAT1|Q9Y617;PSAT1;green;5,0E-02;2,7E-01;0,081
ATPIF1|Q9UII2;ATPIF1;brown;5,0E-02;2,7E-01;0,168
PNOC|Q13519;PNOC;NA;0,0501;0,2721;-0,216
PCYOX1|Q9UHG3;PCYOX1;brown;0,0503;0,2727;-0,173
PCBD1|P61457;PCBD1;darkgrey;0,0504;0,2727;0,116
CD300LF|J3KS52;CD300LF;NA;0,0506;0,2729;0,148
CP|D6RE86;CP;midnightblue;0,0506;0,2729;-0,213
LRP12|Q9Y561;LRP12;NA;0,0513;0,2765;0,045
ANXA3|P12429;ANXA3;red;0,0517;0,2774;-0,126
PDYN|P01213;PDYN;NA;0,0517;0,2774;-0,156
GC|D6RF35;GC;midnightblue;0,0523;0,2798;-0,263
BCL2L13|A0A087WX97;BCL2L13;plum1;0,0526;0,2812;0,154
AGT|P01019;AGT;blue;0,0532;0,2836;-0,104
ANGPTL4|Q9BY76;ANGPTL4;NA;0,0533;0,2836;0,126
DLK1|P80370;DLK1;NA;0,0535;0,2837;-0,122
TALDO1|P37837;TALDO1;yellow;0,0535;0,2837;0,122
IL13RA1|P78552;IL13RA1;NA;0,0537;0,2837;-0,084
VAMP5|O95183;VAMP5;darkgreen;0,0537;0,2837;0,185
PPP2R4|Q15257;PPP2R4;grey;0,0540;0,2846;0,191
RARRES1|P49788;RARRES1;NA;0,0542;0,2853;-0,200
PSAP|P07602;PSAP;saddlebrown;0,0543;0,2853;-0,079
MDH2|P40926;MDH2;brown;0,0545;0,2853;0,081
TCP1|P17987;TCP1;darkolivegreen;0,0548;0,2853;-0,249
AMY2A|P04746;AMY2A;NA;0,0548;0,2853;-0,467
HIST1H3A|P68431;HIST1H3A;green;0,0548;0,2853;-0,189
GC|P02774-2;GC;midnightblue;0,0549;0,2853;-0,287
ERP44|Q9BS26;ERP44;brown;0,0553;0,2853;-0,055
FAT3|Q8TDW7;FAT3;brown;0,0554;0,2853;-0,131
MAGED2|Q9UNF1;MAGED2;pink;0,0554;0,2853;0,134
MAB21L3|Q8N8X9;MAB21L3;NA;0,0554;0,2853;-0,239
CPN1|P15169;CPN1;NA;0,0554;0,2853;-0,277
YES1|J3QRU1;YES1;yellow;0,0556;0,2853;-0,266
PVRL2|Q92692;PVRL2;steelblue;0,0556;0,2853;-0,092
COLEC12|Q5KU26;COLEC12;red;0,0556;0,2853;0,078
SYNJ1|C9JFZ1;SYNJ1;turquoise;0,0558;0,2860;0,131
LCAT|P04180;LCAT;NA;0,0559;0,2860;-0,133
ASAH1|Q13510-2;ASAH1;green;0,0560;0,2860;-0,149
FKBP9|O95302-3;FKBP9;greenyellow;0,0561;0,2860;-0,038
IMPAD1|Q9NX62;IMPAD1;black;0,0564;0,2869;-0,123
TXNDC17|Q9BRA2;TXNDC17;yellow;0,0569;0,2888;0,089
CACNA1B|F6RH32;CACNA1B;turquoise;0,0570;0,2888;0,125
PGM5|Q15124;PGM5;grey;0,0571;0,2888;-0,145
SLC39A12|Q504Y0;SLC39A12;green;0,0576;0,2909;-0,159
NBR1|Q14596;NBR1;NA;0,0577;0,2912;0,230
PKD1|P98161;PKD1;NA;0,0588;0,2958;-0,092
CLUL1|F5GWQ8;CLUL1;NA;0,0589;0,2959;-0,171
CP|E9PFZ2;CP;midnightblue;0,0593;0,2972;-0,811
GLA|P06280;GLA;red;0,0594;0,2972;-0,115
UBQLN1|Q9UMX0;UBQLN1;floralwhite;0,0594;0,2972;0,137
HSPB11|X6R7Y7;HSPB11;darkgrey;0,0597;0,2980;0,193
SNRPB2|P08579;SNRPB2;cyan;0,0600;0,2988;-0,393
SUOX|P51687;SUOX;brown;0,0603;0,3001;-0,272
TGFB1|P01137;TGFB1;NA;0,0610;0,3029;0,115
FAM198B|Q6UWH4-2;FAM198B;NA;0,0612;0,3032;-0,101
DCBLD1|Q8N8Z6;DCBLD1;NA;0,0619;0,3060;0,063
RAP1B|P61224;RAP1B;yellow;0,0619;0,3060;-0,174
EDIL3|O43854;EDIL3;salmon;0,0633;0,3121;-0,157
WFS1|O76024;WFS1;steelblue;0,0634;0,3121;0,149
LRTM2|Q8N967;LRTM2;NA;0,0640;0,3146;-0,144
KRT10|P13645;KRT10;floralwhite;0,0648;0,3172;0,203
APP|P05067-6;APP;green;0,0649;0,3172;0,165
STC2|O76061;STC2;NA;0,0649;0,3172;-0,080
MBTPS1|Q14703;MBTPS1;NA;0,0651;0,3172;-0,122
ESM1|Q9NQ30;ESM1;NA;0,0652;0,3172;0,205
HDHD2|Q9H0R4;HDHD2;blue;0,0652;0,3172;0,133
CD9|G8JLH6;CD9;yellow;0,0658;0,3197;-0,200
RPL23A|A8MUS3;RPL23A;brown;0,0659;0,3197;-0,314
SPINK5|Q9NQ38-3;SPINK5;NA;0,0662;0,3202;-0,131
TNFRSF1A|P19438;TNFRSF1A;NA;0,0664;0,3202;0,076
CPB2|Q96IY4;CPB2;NA;0,0664;0,3202;-0,206
TWSG1|Q9GZX9;TWSG1;NA;0,0666;0,3206;-0,091
HUWE1|Q7Z6Z7;HUWE1;darkturquoise;0,0668;0,3213;0,251
AFM|P43652;AFM;grey;0,0672;0,3228;-0,251
HLA-A|P30447;HLA-A;grey;0,0674;0,3231;-0,338
GALNT4|Q8N4A0;GALNT4;NA;0,0677;0,3240;-0,104
SDC4|P31431;SDC4;green;0,0682;0,3256;0,125
PLXNA2|O75051;PLXNA2;turquoise;0,0692;0,3294;-0,074
HGFAC|Q04756;HGFAC;NA;0,0692;0,3294;-0,237
PAM|P19021-5;PAM;turquoise;0,0695;0,3304;-0,111
THY1|E9PNQ8;THY1;turquoise;0,0701;0,3313;-0,092
VWA7|Q9Y334;VWA7;grey60;0,0701;0,3313;-0,092
ITIH4|Q14624;ITIH4;midnightblue;0,0701;0,3313;-0,180
CD163|Q86VB7-2;CD163;red;0,0704;0,3313;0,097
FAM20A|Q96MK3;FAM20A;NA;0,0704;0,3313;-0,110
COL25A1|Q9BXS0;COL25A1;green;0,0705;0,3313;-0,136
SLC9A3R1|O14745;SLC9A3R1;green;0,0705;0,3313;0,165
LDHB|P07195;LDHB;pink;0,0707;0,3317;0,119
GANAB|Q14697-2;GANAB;red;0,0716;0,3353;-0,095
FSTL5|Q8N475;FSTL5;NA;0,0719;0,3354;-0,110
CPQ|Q9Y646;CPQ;blue;0,0720;0,3354;-0,121
CNPY3|Q9BT09;CNPY3;grey;0,0720;0,3354;0,125
LOXL3|P58215;LOXL3;NA;0,0722;0,3354;0,070
OMD|Q99983;OMD;NA;0,0723;0,3354;-0,087
PIANP|Q8IYJ0;PIANP;NA;0,0723;0,3354;-0,131
NUCKS1|Q9H1E3;NUCKS1;green;0,0725;0,3355;0,112
LBP|P18428;LBP;red;0,0726;0,3355;-0,198
SERPING1|P05155-3;SERPING1;midnightblue;0,0729;0,3363;-0,107
CETP|P11597;CETP;NA;0,0733;0,3379;-0,140
RELN|J3KQ66;RELN;NA;0,0738;0,3396;-0,124
PRKAR1B|P31321;PRKAR1B;turquoise;0,0741;0,3403;0,099
KRT78|Q8N1N4;KRT78;NA;0,0742;0,3403;0,195
APOM|O95445;APOM;NA;0,0749;0,3425;-0,234
EDN3|P14138;EDN3;NA;0,0752;0,3425;0,098
APOA1|P02647;APOA1;midnightblue;0,0752;0,3425;-0,251
FAP|Q12884;FAP;NA;0,0753;0,3425;-0,099
LILRA2|Q8N149;LILRA2;NA;0,0754;0,3425;0,130
TPK1|Q9H3S4;TPK1;grey;0,0754;0,3425;0,129
DEFA1|P59665;DEFA1;NA;0,0757;0,3432;-0,328
NEU1|Q99519;NEU1;NA;0,0760;0,3434;-0,122
TPPP3|Q9BW30;TPPP3;blue;0,0760;0,3434;0,068
PPP2CA|P67775;PPP2CA;turquoise;0,0762;0,3438;-0,146
CHST15|Q7LFX5;CHST15;NA;0,0764;0,3445;-0,101
PIGR|P01833;PIGR;NA;0,0767;0,3451;0,197
CCDC176|Q8ND07;CCDC176;NA;0,0772;0,3467;-0,288
XXYLT1|Q8NBI6;XXYLT1;NA;0,0773;0,3467;-0,117
GUCA2A|Q02747;GUCA2A;NA;0,0776;0,3468;-0,130
F3|P13726;F3;darkgreen;0,0776;0,3468;0,076
LOXL1|Q08397;LOXL1;NA;0,0778;0,3468;0,086
TGFB2|P61812-2;TGFB2;NA;0,0778;0,3468;-0,113
TMEM132E|Q6IEE7;TMEM132E;turquoise;0,0784;0,3484;-0,072
TMA7|Q9Y2S6;TMA7;blue;0,0784;0,3484;0,093
CFI|E7ETH0;CFI;NA;0,0787;0,3491;-0,164
TFG|Q92734;TFG;grey;0,0790;0,3498;0,137
HGFAC|D6RAR4;HGFAC;NA;0,0792;0,3502;-0,188
NRN1|A0A087WWT2;NRN1;brown;0,0793;0,3502;-0,179
HAPLN2|Q9GZV7;HAPLN2;yellow;0,0795;0,3505;-0,102
GPHN|F5H039;GPHN;turquoise;0,0802;0,3530;-0,160
CD81|A6NMH8;CD81;yellow;0,0803;0,3531;-0,167
FCGR2A|P12318;FCGR2A;NA;0,0808;0,3543;-0,157
DNAH5|Q8TE73;DNAH5;NA;0,0808;0,3543;-0,294
AP1B1|Q10567;AP1B1;turquoise;0,0810;0,3545;0,143
EVI2A|P22794-2;EVI2A;NA;0,0813;0,3550;0,197
HLA-C|P30510;HLA-C;lightgreen;0,0814;0,3550;0,525
GRIA2|P42262-3;GRIA2;turquoise;0,0819;0,3550;-0,110
HEPACAM|Q14CZ8;HEPACAM;green;0,0819;0,3550;0,073
APOE|P02649;APOE;green;0,0819;0,3550;-0,072
TFF3|A0A0A6YYJ4;TFF3;NA;0,0820;0,3550;-0,106
TOM1|O60784;TOM1;plum1;0,0820;0,3550;0,266
GBA|P04062;GBA;grey;0,0827;0,3573;-0,115
LY96|Q9Y6Y9;LY96;NA;0,0828;0,3573;-0,137
MYOC|Q99972;MYOC;NA;0,0829;0,3573;-0,190
HS3ST1|O14792;HS3ST1;NA;0,0833;0,3573;-0,102
CASP14|P31944;CASP14;NA;0,0833;0,3573;0,206
PSMB7|Q99436;PSMB7;green;0,0834;0,3573;0,153
OLFML2B|Q68BL8;OLFML2B;NA;0,0834;0,3573;-0,103
PDGFD|Q9GZP0;PDGFD;NA;0,0838;0,3585;-0,093
CXCL16|Q9H2A7;CXCL16;NA;0,0840;0,3589;0,098
SORCS3|Q9UPU3;SORCS3;grey60;0,0842;0,3591;-0,090
0|F8W031;0;NA;0,0847;0,3609;-0,065
TCN2|P20062;TCN2;NA;0,0849;0,3612;-0,140
LPHN1|O94910;LPHN1;brown;0,0851;0,3615;-0,061
SLIT3|O75094-4;SLIT3;green;0,0854;0,3620;0,056
FAM69C|Q0P6D2;FAM69C;NA;0,0856;0,3626;-0,195
APOF|Q13790;APOF;NA;0,0864;0,3654;-0,343
NPTN|Q9Y639-5;NPTN;turquoise;0,0872;0,3674;0,060
